Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,1.07,1.09,0.97,1.0,79321.0
2024-03-05 05:00:00+00:00,0.97,1.0,0.9001,0.94,31303.0
2024-03-06 05:00:00+00:00,0.92,1.06,0.92,1.02,2239392.0
2024-03-07 05:00:00+00:00,2.21,2.44,1.72,1.95,57357094.0
2024-03-08 05:00:00+00:00,1.69,1.79,1.44,1.52,1730558.0
2024-03-11 04:00:00+00:00,1.51,1.73,1.51,1.66,931374.0
2024-03-12 04:00:00+00:00,1.63,1.6399,1.32,1.35,307285.0
2024-03-13 04:00:00+00:00,1.5,1.69,1.39,1.55,313452.0
2024-03-14 04:00:00+00:00,1.53,1.55,1.41,1.45,110982.0
2024-03-15 04:00:00+00:00,1.48,1.75,1.47,1.56,333439.0
2024-03-18 04:00:00+00:00,1.58,1.6398,1.56,1.62,99924.0
2024-03-19 04:00:00+00:00,1.62,1.69,1.57,1.68,98337.0
2024-03-20 04:00:00+00:00,1.7,1.89,1.6,1.78,429518.0
2024-03-21 04:00:00+00:00,1.76,1.79,1.54,1.62,197132.0
2024-03-22 04:00:00+00:00,1.66,1.66,1.408,1.42,133985.0
2024-03-25 04:00:00+00:00,1.45,1.54,1.41,1.46,77428.0
2024-03-26 04:00:00+00:00,1.42,1.48,1.14,1.24,278172.0
2024-03-27 04:00:00+00:00,1.22,1.25,1.119,1.165,140638.0
2024-03-28 04:00:00+00:00,1.18,1.36,1.15,1.29,234935.0
