Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,0.186,0.1969,0.1782,0.1941,2900987.0
2024-03-05 05:00:00+00:00,0.2,0.2,0.1702,0.18,2675920.0
2024-03-06 05:00:00+00:00,0.18,0.1828,0.17,0.18,1414763.0
2024-03-07 05:00:00+00:00,0.1764,0.2,0.1748,0.1922,2565296.0
2024-03-08 05:00:00+00:00,0.1936,0.22,0.1902,0.215,2939489.0
2024-03-11 04:00:00+00:00,0.22,0.22,0.1924,0.201,2000097.0
2024-03-12 04:00:00+00:00,0.2096,0.2125,0.1827,0.2009,1136671.0
2024-03-13 04:00:00+00:00,0.202,0.214,0.1867,0.204,1362610.0
2024-03-14 04:00:00+00:00,0.0503,0.09,0.0308,0.035,47438778.0
2024-03-15 04:00:00+00:00,0.0716,0.095,0.0423,0.0446,204525202.0
2024-03-18 04:00:00+00:00,0.03,0.03,0.0171,0.0195,12548372.0
2024-03-19 04:00:00+00:00,0.0176,0.0199,0.0156,0.0156,2478422.0
2024-03-20 04:00:00+00:00,0.0158,0.016,0.012,0.0144,3338647.0
2024-03-21 04:00:00+00:00,0.0147,0.015,0.012,0.0135,1880898.0
2024-03-22 04:00:00+00:00,0.0144,0.024,0.0131,0.0206,2352611.0
2024-03-25 04:00:00+00:00,0.021,0.022,0.015,0.0175,1162710.0
2024-03-26 04:00:00+00:00,0.0175,0.0175,0.0134,0.0137,1637871.0
2024-03-27 04:00:00+00:00,0.0138,0.0175,0.0125,0.0129,620586.0
2024-03-28 04:00:00+00:00,0.013,0.016,0.0127,0.014,899375.0
