Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,4.22,4.3,3.94,4.0,164257
2024-03-05 05:00:00+00:00,3.94,4.05,3.7,3.73,83574
2024-03-06 05:00:00+00:00,3.67,3.74,3.4,3.49,129167
2024-03-07 05:00:00+00:00,3.47,3.621,3.37,3.47,61715
2024-03-08 05:00:00+00:00,3.46,3.62,3.3294,3.45,58772
2024-03-11 04:00:00+00:00,3.4,3.43,3.224,3.37,158889
2024-03-12 04:00:00+00:00,3.33,3.52,3.305,3.48,98028
2024-03-13 04:00:00+00:00,3.48,3.72,3.38,3.41,53224
2024-03-14 04:00:00+00:00,3.41,3.48,3.31,3.47,124463
2024-03-15 04:00:00+00:00,3.29,3.62,3.29,3.4,106298
2024-03-18 04:00:00+00:00,3.5,4.01,3.38,3.74,210449
2024-03-19 04:00:00+00:00,3.77,3.9,3.52,3.79,158317
2024-03-20 04:00:00+00:00,3.77,3.92,3.665,3.84,62094
2024-03-21 04:00:00+00:00,3.92,4.3,3.76,3.82,255937
2024-03-22 04:00:00+00:00,3.5,3.563,3.05,3.3,373474
2024-03-25 04:00:00+00:00,3.27,3.27,2.85,2.92,423996
2024-03-26 04:00:00+00:00,3.23,4.18,3.23,3.69,643433
2024-03-27 04:00:00+00:00,3.7,3.98,3.5801,3.89,122679
2024-03-28 04:00:00+00:00,3.88,3.99,3.65,3.68,99042
