Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,11.36,11.38,10.81,10.83,523591.0
2024-03-05 05:00:00+00:00,10.63,10.85,10.54,10.58,416023.0
2024-03-06 05:00:00+00:00,10.95,11.6,10.95,11.22,608339.0
2024-03-07 05:00:00+00:00,11.23,11.35,10.95,11.17,506364.0
2024-03-08 05:00:00+00:00,11.29,11.63,11.2,11.41,534312.0
2024-03-11 04:00:00+00:00,12.01,13.93,11.97,12.76,2341376.0
2024-03-12 04:00:00+00:00,13.8,14.77,13.07,14.48,2780655.0
2024-03-13 04:00:00+00:00,14.7,15.33,14.1303,14.7,1674921.0
2024-03-14 04:00:00+00:00,14.51,14.72,13.55,13.61,1295067.0
2024-03-15 04:00:00+00:00,14.06,16.45,13.9,15.37,3266263.0
2024-03-18 04:00:00+00:00,17.67,19.925,15.05,15.5,7552786.0
2024-03-19 04:00:00+00:00,15.84,18.2476,14.5,17.91,4857138.0
2024-03-20 04:00:00+00:00,18.21,18.9,17.36,18.54,2952409.0
2024-03-21 04:00:00+00:00,18.3,19.58,17.17,17.8,2440833.0
2024-03-22 04:00:00+00:00,17.4,19.08,16.875,18.73,1928263.0
2024-03-25 04:00:00+00:00,18.2,19.09,17.18,17.52,1514885.0
2024-03-26 04:00:00+00:00,17.97,18.03,17.23,17.4,793243.0
2024-03-27 04:00:00+00:00,17.79,18.79,17.57,18.79,1792215.0
2024-03-28 04:00:00+00:00,19.71,21.2,19.115,20.57,4156511.0
