Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,8.172,8.24,7.228,7.364,175742.65
2024-03-05 05:00:00+00:00,7.204,7.24,6.4,7.004,340047.125
2024-03-06 05:00:00+00:00,7.16,7.296,6.408,6.528,243300.325
2024-03-07 05:00:00+00:00,6.408,6.456,5.864,5.912,229048.175
2024-03-08 05:00:00+00:00,5.84,5.88,5.2,5.32,335123.4
2024-03-11 04:00:00+00:00,5.4,5.472,4.92,5.16,195668.8
2024-03-12 04:00:00+00:00,5.12,5.2,3.82,4.04,687926.725
2024-03-13 04:00:00+00:00,4.0,5.484,3.992,4.32,782665.225
2024-03-14 04:00:00+00:00,4.4,4.476,4.028,4.268,229479.425
2024-03-15 04:00:00+00:00,4.268,4.4,3.84,3.876,259678.2
2024-03-18 04:00:00+00:00,4.0,4.76,3.904,4.2,425093.25
2024-03-19 04:00:00+00:00,4.264,4.324,3.608,3.684,479458.3
2024-03-20 04:00:00+00:00,3.764,3.8,3.44,3.66,343649.275
2024-03-21 04:00:00+00:00,3.68,5.996,3.56,5.44,2570257.525
2024-03-22 04:00:00+00:00,6.876,6.916,5.092,5.268,1900278.825
2024-03-25 04:00:00+00:00,5.252,5.388,4.056,4.564,601034.85
2024-03-26 04:00:00+00:00,4.556,4.8,4.0,4.004,473743.8
2024-03-27 04:00:00+00:00,4.0,4.156,3.5,3.808,481600.8
2024-03-28 04:00:00+00:00,3.788,4.788,3.52,4.0,555618.6
