Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,25.5,25.95,25.5,25.58,770470.0
2024-03-05 05:00:00+00:00,25.4,26.02,25.32,25.89,559179.0
2024-03-06 05:00:00+00:00,26.01,26.01,25.47,25.88,473153.0
2024-03-07 05:00:00+00:00,26.15,26.2,25.77,25.81,639846.0
2024-03-08 05:00:00+00:00,26.08,26.145,25.45,25.66,570844.0
2024-03-11 04:00:00+00:00,25.56,25.61,25.27,25.44,1680940.0
2024-03-12 04:00:00+00:00,25.51,25.7,25.195,25.36,1442085.0
2024-03-13 04:00:00+00:00,25.22,25.66,25.22,25.65,845113.0
2024-03-14 04:00:00+00:00,25.55,25.7,25.3,25.37,993677.0
2024-03-15 04:00:00+00:00,25.27,25.61,24.96,25.07,1096347.0
2024-03-18 04:00:00+00:00,25.06,25.2,24.58,25.03,965403.0
2024-03-19 04:00:00+00:00,24.88,25.365,24.8,25.16,1641287.0
2024-03-20 04:00:00+00:00,24.95,26.255,24.95,25.95,1724390.0
2024-03-21 04:00:00+00:00,31.0,32.22,30.56,31.32,7035850.0
2024-03-22 04:00:00+00:00,31.14,31.36,30.1,30.59,2370199.0
2024-03-25 04:00:00+00:00,30.29,30.595,29.591,29.64,1844099.0
2024-03-26 04:00:00+00:00,29.67,30.46,29.4238,30.38,2124659.0
2024-03-27 04:00:00+00:00,30.63,31.26,30.59,31.2,1232592.0
2024-03-28 04:00:00+00:00,31.24,32.52,31.1,31.47,1653804.0
