Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,7.14,7.141,6.79,6.82,272699.0
2024-03-05 05:00:00+00:00,6.78,6.88,6.62,6.67,261742.0
2024-03-06 05:00:00+00:00,6.77,6.89,6.68,6.86,215477.0
2024-03-07 05:00:00+00:00,6.92,6.98,6.665,6.75,250285.0
2024-03-08 05:00:00+00:00,6.82,7.16,6.82,6.98,486402.0
2024-03-11 04:00:00+00:00,7.11,7.29,7.0,7.15,446040.0
2024-03-12 04:00:00+00:00,8.85,9.12,8.0,8.95,1858263.0
2024-03-13 04:00:00+00:00,8.75,9.15,8.23,8.42,773528.0
2024-03-14 04:00:00+00:00,8.46,8.47,7.76,7.86,573848.0
2024-03-15 04:00:00+00:00,7.77,8.21,7.7661,8.21,776224.0
2024-03-18 04:00:00+00:00,8.37,8.84,8.3,8.53,492228.0
2024-03-19 04:00:00+00:00,8.71,9.31,8.59,9.23,574302.0
2024-03-20 04:00:00+00:00,9.12,9.9499,8.92,9.84,846172.0
2024-03-21 04:00:00+00:00,10.01,10.5899,9.9501,10.34,657170.0
2024-03-22 04:00:00+00:00,10.6,10.98,10.11,10.34,1044706.0
2024-03-25 04:00:00+00:00,10.24,11.07,10.24,10.68,731398.0
2024-03-26 04:00:00+00:00,10.71,10.9299,10.51,10.77,465064.0
2024-03-27 04:00:00+00:00,10.74,10.88,10.415,10.5,400705.0
2024-03-28 04:00:00+00:00,10.46,10.82,10.46,10.65,1124855.0
