Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,6.0,6.0,4.12,4.78,607744.0
2024-03-05 05:00:00+00:00,4.81,5.39,4.4,5.23,677901.0
2024-03-06 05:00:00+00:00,6.56,8.4,5.75,7.63,9686586.0
2024-03-07 05:00:00+00:00,6.0,6.6369,5.4682,6.45,1285733.0
2024-03-08 05:00:00+00:00,5.98,7.0,5.9462,6.48,538299.0
2024-03-11 04:00:00+00:00,6.17,6.7999,6.0007,6.23,511448.0
2024-03-12 04:00:00+00:00,6.15,6.16,5.552,5.63,475812.0
2024-03-13 04:00:00+00:00,5.69,6.45,5.69,5.9,556453.0
2024-03-14 04:00:00+00:00,5.95,6.2,5.6,5.96,539301.0
2024-03-15 04:00:00+00:00,5.9,6.05,5.42,5.47,268253.0
2024-03-18 04:00:00+00:00,5.41,5.5532,4.59,4.97,272128.0
2024-03-19 04:00:00+00:00,4.59,5.7999,4.59,5.51,390048.0
2024-03-20 04:00:00+00:00,5.29,5.41,4.9,4.9,357150.0
2024-03-21 04:00:00+00:00,4.99,5.3158,4.9168,5.04,249891.0
2024-03-22 04:00:00+00:00,4.9,4.9999,4.7,4.75,203745.0
2024-03-25 04:00:00+00:00,4.7,4.97,4.55,4.55,163149.0
2024-03-26 04:00:00+00:00,4.55,4.7039,4.2,4.23,147676.0
2024-03-27 04:00:00+00:00,4.3,4.38,4.1,4.35,118424.0
2024-03-28 04:00:00+00:00,4.35,4.5061,4.2569,4.39,83234.0
