Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,6.375,6.57,6.27,6.57,13872
2024-03-05 05:00:00+00:00,6.39,6.625,6.39,6.51,5738
2024-03-06 05:00:00+00:00,6.415,6.73,6.415,6.615,3911
2024-03-07 05:00:00+00:00,6.58,6.58,6.0,6.51,47512
2024-03-08 05:00:00+00:00,6.64,6.64,6.01,6.24,23755
2024-03-11 04:00:00+00:00,6.27,6.68,5.57,6.25,21315
2024-03-12 04:00:00+00:00,6.15,6.53,6.06,6.53,5071
2024-03-13 04:00:00+00:00,6.33,6.68,6.25,6.48,4915
2024-03-14 04:00:00+00:00,6.35,6.6,6.26,6.48,6083
2024-03-15 04:00:00+00:00,6.489,6.64,6.3,6.64,2837
2024-03-18 04:00:00+00:00,6.66,6.68,6.31,6.64,10867
2024-03-19 04:00:00+00:00,6.97,7.35,6.64,6.94,18715
2024-03-20 04:00:00+00:00,7.19,7.29,6.9,6.99,3924
2024-03-21 04:00:00+00:00,7.0,7.9,7.0,7.67,10985
2024-03-22 04:00:00+00:00,7.7,8.08,7.7,7.83,7105
2024-03-25 04:00:00+00:00,21.61,21.8699,21.1,21.4,571576
2024-03-26 04:00:00+00:00,21.65,21.8,21.36,21.56,66122
2024-03-27 04:00:00+00:00,21.4,21.65,21.35,21.36,44651
2024-03-28 04:00:00+00:00,21.41,21.87,21.35,21.48,47103
