Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,3.5832,3.7092,3.312,3.474,138500.5
2024-03-05 05:00:00+00:00,3.24,3.4182,2.793,2.862,122387.666667
2024-03-06 05:00:00+00:00,2.8728,3.0,2.7036,2.862,74313.166667
2024-03-07 05:00:00+00:00,2.784,3.12,2.76,2.874,41240.833333
2024-03-08 05:00:00+00:00,2.76,2.787,2.4072,2.6046,332817.0
2024-03-11 04:00:00+00:00,2.9646,3.66,2.8644,3.393,1008043.333333
2024-03-12 04:00:00+00:00,3.26,3.55,3.06,3.26,454824.0
2024-03-13 04:00:00+00:00,3.26,3.5799,3.18,3.31,205817.0
2024-03-14 04:00:00+00:00,3.25,3.31,3.01,3.05,195935.0
2024-03-15 04:00:00+00:00,3.03,3.23,2.86,3.18,623179.0
2024-03-18 04:00:00+00:00,3.14,3.3565,2.87,2.87,153839.0
2024-03-19 04:00:00+00:00,2.75,2.75,2.56,2.72,214189.0
2024-03-20 04:00:00+00:00,2.7,2.93,2.6301,2.93,173158.0
2024-03-21 04:00:00+00:00,2.86,2.9899,2.86,2.9,44045.0
2024-03-22 04:00:00+00:00,2.82,2.85,2.55,2.67,90225.0
2024-03-25 04:00:00+00:00,2.72,3.058,2.7001,3.03,240293.0
2024-03-26 04:00:00+00:00,2.99,2.99,2.7805,2.88,45764.0
2024-03-27 04:00:00+00:00,3.0,3.23,2.885,3.2,112132.0
2024-03-28 04:00:00+00:00,3.25,3.74,3.2,3.66,191230.0
