Datetime,Open,High,Low,Close,Volume
2024-03-26 11:56:00+00:00,4.54,4.54,4.54,4.54,500
2024-03-26 12:00:00+00:00,4.38,4.61,4.38,4.5,11199
2024-03-26 12:02:00+00:00,4.5,4.5,4.4901,4.4901,2754
2024-03-26 12:08:00+00:00,4.55,4.55,4.5,4.5,1673
2024-03-26 12:10:00+00:00,4.56,4.56,4.56,4.56,1110
2024-03-26 12:12:00+00:00,4.6,4.6,4.6,4.6,382
2024-03-26 12:14:00+00:00,4.59,4.6,4.59,4.6,656
2024-03-26 12:16:00+00:00,4.5,4.5,4.5,4.5,1000
2024-03-26 12:20:00+00:00,4.6,4.6,4.6,4.6,150
2024-03-26 12:22:00+00:00,4.59,4.59,4.59,4.59,300
2024-03-26 12:34:00+00:00,4.58,4.58,4.58,4.58,2400
2024-03-26 12:38:00+00:00,4.59,4.59,4.59,4.59,300
2024-03-26 12:42:00+00:00,4.58,4.6,4.58,4.6,3468
2024-03-26 12:52:00+00:00,4.55,4.55,4.55,4.55,439
2024-03-26 12:54:00+00:00,4.55,4.55,4.55,4.55,454
2024-03-26 12:56:00+00:00,4.598,4.598,4.598,4.598,100
2024-03-26 13:20:00+00:00,4.65,4.65,4.65,4.65,505
2024-03-26 13:30:00+00:00,4.74,4.85,4.71,4.82,62092
2024-03-26 13:32:00+00:00,4.8199,4.95,4.7801,4.928,27726
2024-03-26 13:34:00+00:00,4.91,4.91,4.7912,4.81,25944
2024-03-26 13:36:00+00:00,4.81,4.8199,4.775,4.81,19000
2024-03-26 13:38:00+00:00,4.8,4.8,4.7177,4.72,15263
2024-03-26 13:40:00+00:00,4.712,4.73,4.61,4.61,46861
2024-03-26 13:42:00+00:00,4.61,4.61,4.565,4.565,22926
2024-03-26 13:44:00+00:00,4.57,4.58,4.52,4.535,34735
2024-03-26 13:46:00+00:00,4.535,4.54,4.51,4.5194,20539
2024-03-26 13:48:00+00:00,4.5193,4.535,4.51,4.51,45851
2024-03-26 13:50:00+00:00,4.51,4.51,4.43,4.445,90800
2024-03-26 13:52:00+00:00,4.446,4.4799,4.446,4.4799,5414
2024-03-26 13:54:00+00:00,4.475,4.5,4.47,4.495,12947
2024-03-26 13:56:00+00:00,4.4947,4.5,4.4947,4.5,3698
2024-03-26 13:58:00+00:00,4.49,4.49,4.4701,4.475,20263
2024-03-26 14:00:00+00:00,4.48,4.5,4.48,4.485,23308
2024-03-26 14:02:00+00:00,4.4998,4.4998,4.495,4.495,999
2024-03-26 14:04:00+00:00,4.495,4.5,4.495,4.495,12314
2024-03-26 14:06:00+00:00,4.495,4.4992,4.495,4.495,1350
2024-03-26 14:08:00+00:00,4.5,4.5,4.485,4.485,26023
2024-03-26 14:10:00+00:00,4.485,4.5,4.485,4.495,8503
2024-03-26 14:12:00+00:00,4.4949,4.51,4.49,4.49,39943
2024-03-26 14:14:00+00:00,4.495,4.5,4.475,4.495,10432
2024-03-26 14:16:00+00:00,4.5,4.5,4.48,4.4827,13739
2024-03-26 14:18:00+00:00,4.4865,4.5099,4.4852,4.5,14757
2024-03-26 14:20:00+00:00,4.5,4.5,4.495,4.499,9050
2024-03-26 14:22:00+00:00,4.4991,4.4991,4.49,4.4901,4668
2024-03-26 14:24:00+00:00,4.49,4.4947,4.4601,4.4601,8642
2024-03-26 14:26:00+00:00,4.465,4.49,4.465,4.48,9552
2024-03-26 14:28:00+00:00,4.4898,4.5,4.4898,4.49,5887
2024-03-26 14:30:00+00:00,4.49,4.49,4.46,4.465,13547
2024-03-26 14:32:00+00:00,4.4654,4.468,4.46,4.4607,8233
2024-03-26 14:34:00+00:00,4.4663,4.4764,4.465,4.475,5952
2024-03-26 14:36:00+00:00,4.475,4.4799,4.47,4.475,1439
2024-03-26 14:38:00+00:00,4.47,4.485,4.47,4.485,5617
2024-03-26 14:40:00+00:00,4.48,4.48,4.475,4.475,1202
2024-03-26 14:42:00+00:00,4.48,4.485,4.4746,4.4746,5801
2024-03-26 14:44:00+00:00,4.4799,4.48,4.47,4.48,3275
2024-03-26 14:46:00+00:00,4.485,4.485,4.48,4.48,351
