Datetime,Open,High,Low,Close,Volume
2024-03-07 10:36:00+00:00,8.56,8.56,8.56,8.56,450
2024-03-07 10:38:00+00:00,8.56,8.56,8.56,8.56,550
2024-03-07 13:00:00+00:00,8.52,8.56,8.4,8.4,10800
2024-03-07 13:02:00+00:00,8.41,8.41,8.41,8.41,1308
2024-03-07 13:06:00+00:00,8.27,8.27,8.27,8.27,970
2024-03-07 14:20:00+00:00,8.99,9.0,8.99,9.0,600
2024-03-07 14:24:00+00:00,9.0,9.0,9.0,9.0,650
2024-03-07 14:26:00+00:00,8.99,9.0,8.99,9.0,1200
2024-03-07 14:28:00+00:00,9.1,9.43,9.0,9.43,6509
2024-03-07 14:30:00+00:00,9.43,9.57,9.43,9.52,9710
2024-03-07 14:32:00+00:00,9.56,9.94,9.49,9.94,89870
2024-03-07 14:34:00+00:00,9.93,10.38,9.71,10.347,88984
2024-03-07 14:36:00+00:00,10.28,10.81,10.16,10.81,34238
2024-03-07 14:38:00+00:00,10.81,10.9,10.56,10.56,56654
2024-03-07 14:40:00+00:00,10.55,10.57,10.34,10.39,59008
2024-03-07 14:42:00+00:00,10.39,10.39,10.0,10.005,48577
2024-03-07 14:44:00+00:00,9.96,10.17,9.85,10.03,105881
2024-03-07 14:46:00+00:00,10.0,10.14,10.0,10.06,21752
2024-03-07 14:48:00+00:00,10.07,10.07,10.03,10.07,15972
2024-03-07 14:50:00+00:00,10.1,10.185,10.0,10.185,21832
2024-03-07 14:52:00+00:00,10.195,10.24,10.03,10.04,31867
2024-03-07 14:54:00+00:00,10.02,10.1,9.95,9.97,28558
2024-03-07 14:56:00+00:00,9.97,9.97,9.8,9.8,24245
2024-03-07 14:58:00+00:00,9.7815,9.9,9.72,9.87,18892
2024-03-07 15:00:00+00:00,9.9,9.9,9.72,9.77,13274
2024-03-07 15:02:00+00:00,9.8,9.8,9.63,9.66,44871
2024-03-07 15:04:00+00:00,9.66,9.67,9.51,9.555,33131
2024-03-07 15:06:00+00:00,9.54,9.62,9.54,9.6199,19870
2024-03-07 15:08:00+00:00,9.5549,9.585,9.29,9.495,32249
2024-03-07 15:10:00+00:00,9.5,9.605,9.5,9.605,32831
2024-03-07 15:12:00+00:00,9.58,9.63,9.58,9.63,29626
2024-03-07 15:14:00+00:00,9.59,10.01,9.59,9.9595,51403
2024-03-07 15:16:00+00:00,9.89,9.9312,9.77,9.81,21912
2024-03-07 15:18:00+00:00,9.86,9.88,9.8,9.87,10789
2024-03-07 15:20:00+00:00,9.87,9.88,9.82,9.84,17550
2024-03-07 15:22:00+00:00,9.86,9.94,9.83,9.865,18979
2024-03-07 15:24:00+00:00,9.88,9.9,9.845,9.88,11711
2024-03-07 15:26:00+00:00,9.87,9.97,9.87,9.94,13131
2024-03-07 15:28:00+00:00,9.95,9.95,9.86,9.949,9547
2024-03-07 15:30:00+00:00,9.93,9.99,9.8115,9.82,34268
2024-03-07 15:32:00+00:00,9.81,9.8225,9.752,9.821,12905
2024-03-07 15:34:00+00:00,9.815,9.855,9.7602,9.815,25861
2024-03-07 15:36:00+00:00,9.82,9.8325,9.8,9.8,7239
2024-03-07 15:38:00+00:00,9.79,9.8,9.734,9.74,10240
2024-03-07 15:40:00+00:00,9.74,9.78,9.73,9.73,12399
2024-03-07 15:42:00+00:00,9.74,9.8,9.73,9.7997,21423
2024-03-07 15:44:00+00:00,9.8,9.8,9.68,9.71,29741
2024-03-07 15:46:00+00:00,9.71,9.74,9.69,9.7015,31010
2024-03-07 15:48:00+00:00,9.7016,10.2164,9.62,9.65,36368
2024-03-07 15:50:00+00:00,9.6599,9.67,9.5775,9.5775,28934
2024-03-07 15:52:00+00:00,9.5701,9.6,9.55,9.57,17266
2024-03-07 15:54:00+00:00,9.57,9.5975,9.55,9.565,22451
2024-03-07 15:56:00+00:00,9.57,9.59,9.57,9.59,4459
2024-03-07 15:58:00+00:00,9.6,9.67,9.6,9.6,36779
2024-03-07 16:00:00+00:00,9.6,9.62,9.55,9.605,17447
2024-03-07 16:02:00+00:00,9.62,9.77,9.62,9.73,22018
2024-03-07 16:04:00+00:00,9.73,9.78,9.705,9.76,15794
2024-03-07 16:06:00+00:00,9.7697,9.82,9.74,9.81,21651
2024-03-07 16:08:00+00:00,9.81,9.81,9.73,9.7604,67144
2024-03-07 16:10:00+00:00,9.78,9.81,9.76,9.76,11177
2024-03-07 16:12:00+00:00,9.78,9.83,9.76,9.8,10822
2024-03-07 16:14:00+00:00,9.795,9.83,9.78,9.78,14660
2024-03-07 16:16:00+00:00,9.78,9.79,9.78,9.79,1067
2024-03-07 16:18:00+00:00,9.79,9.83,9.7435,9.755,26075
2024-03-07 16:20:00+00:00,9.76,9.76,9.755,9.76,882
2024-03-07 16:22:00+00:00,9.76,9.77,9.73,9.73,13138
2024-03-07 16:24:00+00:00,9.74,9.77,9.73,9.77,5779
2024-03-07 16:26:00+00:00,9.78,9.81,9.77,9.78,14961
2024-03-07 16:28:00+00:00,9.78,9.81,9.775,9.79,11284
2024-03-07 16:30:00+00:00,9.8,9.8,9.73,9.77,24428
2024-03-07 16:32:00+00:00,9.765,9.78,9.765,9.765,1418
2024-03-07 16:34:00+00:00,9.75,9.77,9.74,9.77,8925
2024-03-07 16:36:00+00:00,9.78,9.8,9.73,9.73,30265
2024-03-07 16:38:00+00:00,9.72,9.72,9.69,9.695,5707
2024-03-07 16:40:00+00:00,9.695,9.71,9.685,9.685,8062
2024-03-07 16:42:00+00:00,9.685,9.69,9.63,9.64,36772
2024-03-07 16:44:00+00:00,9.64,9.64,9.6,9.605,7384
2024-03-07 16:46:00+00:00,9.59,9.59,9.555,9.555,18213
2024-03-07 16:48:00+00:00,9.56,9.64,9.555,9.63,11712
2024-03-07 16:50:00+00:00,9.64,9.64,9.615,9.6276,4327
2024-03-07 16:52:00+00:00,9.63,9.63,9.595,9.6,3033
2024-03-07 16:54:00+00:00,9.59,9.59,9.535,9.54,10770
2024-03-07 16:56:00+00:00,9.54,9.54,9.495,9.5,16420
2024-03-07 16:58:00+00:00,9.505,9.57,9.505,9.56,7970
2024-03-07 17:00:00+00:00,9.57,9.57,9.53,9.53,5277
2024-03-07 17:02:00+00:00,9.52,9.52,9.495,9.5,6912
2024-03-07 17:04:00+00:00,9.5012,9.52,9.5012,9.52,5487
2024-03-07 17:06:00+00:00,9.5212,9.5212,9.455,9.49,10244
2024-03-07 17:08:00+00:00,9.49,9.51,9.475,9.51,8006
2024-03-07 17:10:00+00:00,9.51,9.6,9.5,9.59,17922
2024-03-07 17:12:00+00:00,9.59,9.61,9.585,9.59,4285
2024-03-07 17:14:00+00:00,9.59,9.59,9.54,9.54,6575
2024-03-07 17:16:00+00:00,9.54,9.54,9.53,9.53,1020
2024-03-07 17:18:00+00:00,9.53,9.59,9.53,9.55,15676
2024-03-07 17:20:00+00:00,9.55,9.55,9.51,9.5175,3264
2024-03-07 17:22:00+00:00,9.5,9.58,9.49,9.58,22622
2024-03-07 17:24:00+00:00,9.58,9.6,9.58,9.6,3134
2024-03-07 17:26:00+00:00,9.61,9.62,9.58,9.58,6204
2024-03-07 17:28:00+00:00,9.58,9.58,9.58,9.58,475
2024-03-07 17:30:00+00:00,9.59,9.59,9.58,9.59,810
2024-03-07 17:32:00+00:00,9.58,9.59,9.53,9.53,12705
2024-03-07 17:34:00+00:00,9.53,9.54,9.525,9.5376,6319
2024-03-07 17:36:00+00:00,9.52,9.53,9.51,9.51,6089
2024-03-07 17:38:00+00:00,9.52,9.57,9.51,9.56,10858
2024-03-07 17:40:00+00:00,9.58,9.58,9.52,9.52,6686
2024-03-07 17:42:00+00:00,9.51,9.51,9.5,9.51,3852
2024-03-07 17:44:00+00:00,9.51,9.52,9.51,9.52,955
2024-03-07 17:46:00+00:00,9.508,9.53,9.5,9.52,23422
2024-03-07 17:48:00+00:00,9.53,9.61,9.53,9.58,17635
2024-03-07 17:50:00+00:00,9.58,9.587,9.575,9.585,4129
2024-03-07 17:52:00+00:00,9.59,9.6,9.545,9.545,11723
2024-03-07 17:54:00+00:00,9.54,9.54,9.53,9.54,4865
2024-03-07 17:56:00+00:00,9.525,9.525,9.51,9.51,1040
2024-03-07 17:58:00+00:00,9.505,9.55,9.49,9.535,25520
2024-03-07 18:00:00+00:00,9.53,9.54,9.525,9.54,2767
2024-03-07 18:02:00+00:00,9.55,9.55,9.535,9.54,8150
2024-03-07 18:04:00+00:00,9.55,9.56,9.5024,9.5024,4250
2024-03-07 18:06:00+00:00,9.51,9.53,9.505,9.52,5025
2024-03-07 18:08:00+00:00,9.53,9.54,9.525,9.53,4381
2024-03-07 18:10:00+00:00,9.525,9.555,9.5225,9.545,9881
2024-03-07 18:12:00+00:00,9.54,9.54,9.505,9.505,12139
2024-03-07 18:14:00+00:00,9.5,9.53,9.485,9.53,6303
2024-03-07 18:16:00+00:00,9.52,9.52,9.52,9.52,875
2024-03-07 18:18:00+00:00,9.53,9.56,9.52,9.56,6414
2024-03-07 18:20:00+00:00,9.56,9.56,9.54,9.545,7679
2024-03-07 18:22:00+00:00,9.55,9.59,9.55,9.59,8792
2024-03-07 18:24:00+00:00,9.6,9.6,9.575,9.58,8268
2024-03-07 18:26:00+00:00,9.575,9.575,9.545,9.545,10519
2024-03-07 18:28:00+00:00,9.55,9.56,9.545,9.545,3266
2024-03-07 18:30:00+00:00,9.545,9.55,9.53,9.54,8434
2024-03-07 18:32:00+00:00,9.54,9.56,9.535,9.555,1973
2024-03-07 18:34:00+00:00,9.555,9.63,9.555,9.63,13781
2024-03-07 18:36:00+00:00,9.64,9.65,9.6312,9.65,3627
2024-03-07 18:38:00+00:00,9.64,9.66,9.615,9.66,22734
2024-03-07 18:40:00+00:00,9.655,9.7,9.655,9.68,16685
2024-03-07 18:42:00+00:00,9.67,9.68,9.65,9.68,8144
2024-03-07 18:44:00+00:00,9.68,9.69,9.68,9.68,785
2024-03-07 18:46:00+00:00,9.69,9.72,9.675,9.7,17377
2024-03-07 18:48:00+00:00,9.71,9.71,9.68,9.69,5017
2024-03-07 18:50:00+00:00,9.69,9.7,9.69,9.69,1072
2024-03-07 18:52:00+00:00,9.7,9.7,9.67,9.69,3385
2024-03-07 18:54:00+00:00,9.685,9.71,9.68,9.705,7302
2024-03-07 18:56:00+00:00,9.71,9.72,9.691,9.695,13910
2024-03-07 18:58:00+00:00,9.695,9.695,9.64,9.66,8350
2024-03-07 19:00:00+00:00,9.6587,9.705,9.6508,9.69,16673
2024-03-07 19:02:00+00:00,9.7,9.76,9.695,9.74,25254
2024-03-07 19:04:00+00:00,9.725,9.764,9.7,9.705,42228
2024-03-07 19:06:00+00:00,9.71,9.71,9.6702,9.69,7545
2024-03-07 19:08:00+00:00,9.69,9.69,9.67,9.67,3050
2024-03-07 19:10:00+00:00,9.67,9.69,9.665,9.69,7335
