Datetime,Open,High,Low,Close,Volume
2024-03-08 09:00:00+00:00,7.45,7.45,7.45,7.45,120
2024-03-08 09:02:00+00:00,7.17,7.17,6.85,6.86,3712
2024-03-08 09:24:00+00:00,7.15,7.32,7.15,7.32,500
2024-03-08 09:50:00+00:00,7.11,7.11,7.11,7.11,100
2024-03-08 10:38:00+00:00,7.12,7.12,7.12,7.12,120
2024-03-08 12:00:00+00:00,7.08,7.3,7.08,7.27,4693
2024-03-08 12:02:00+00:00,7.25,7.27,7.25,7.25,3759
2024-03-08 12:06:00+00:00,7.18,7.18,7.18,7.18,540
2024-03-08 12:24:00+00:00,7.17,7.17,7.17,7.17,150
2024-03-08 12:26:00+00:00,7.05,7.05,7.05,7.05,120
2024-03-08 12:32:00+00:00,6.9,6.9,6.9,6.9,423
2024-03-08 12:46:00+00:00,6.88,6.88,6.88,6.88,100
2024-03-08 13:00:00+00:00,7.27,7.27,7.1,7.1,1597
2024-03-08 13:34:00+00:00,6.95,6.95,6.95,6.95,101
2024-03-08 13:50:00+00:00,6.89,6.89,6.89,6.89,300
2024-03-08 14:10:00+00:00,6.91,6.91,6.91,6.91,500
2024-03-08 14:12:00+00:00,6.77,6.77,6.65,6.65,505
2024-03-08 14:24:00+00:00,7.01,7.01,7.0,7.0,371
2024-03-08 14:26:00+00:00,7.08,7.08,7.08,7.08,200
2024-03-08 14:28:00+00:00,7.12,7.4,7.12,7.4,2498
2024-03-08 14:30:00+00:00,7.49,7.49,6.85,6.9275,79761
2024-03-08 14:32:00+00:00,6.93,6.9489,6.75,6.86,14959
2024-03-08 14:34:00+00:00,6.88,7.07,6.85,6.94,19202
2024-03-08 14:36:00+00:00,6.96,7.005,6.9437,6.975,19742
2024-03-08 14:38:00+00:00,6.99,7.13,6.99,7.0,22447
2024-03-08 14:40:00+00:00,7.02,7.025,6.93,7.0,4533
2024-03-08 14:42:00+00:00,7.01,7.025,6.98,6.99,9224
2024-03-08 14:44:00+00:00,6.99,7.03,6.98,7.03,8775
2024-03-08 14:46:00+00:00,7.01,7.04,6.99,7.03,17866
2024-03-08 14:48:00+00:00,7.02,7.035,6.98,7.0,8795
2024-03-08 14:50:00+00:00,7.0,7.005,6.965,6.965,3566
2024-03-08 14:52:00+00:00,6.99,7.06,6.99,7.0575,34725
2024-03-08 14:54:00+00:00,7.05,7.05,6.98,7.0,17393
2024-03-08 14:56:00+00:00,6.995,7.02,6.99,6.99,15193
2024-03-08 14:58:00+00:00,6.9887,7.0705,6.9887,7.05,56876
2024-03-08 15:00:00+00:00,7.06,7.06,7.02,7.035,20618
2024-03-08 15:02:00+00:00,7.02,7.05,7.0001,7.01,21415
2024-03-08 15:04:00+00:00,7.01,7.015,7.0,7.0,5003
2024-03-08 15:06:00+00:00,6.995,7.06,6.995,7.04,11524
2024-03-08 15:08:00+00:00,7.04,7.04,7.0,7.0,8502
2024-03-08 15:10:00+00:00,6.985,6.985,6.92,6.92,8722
2024-03-08 15:12:00+00:00,6.94,6.97,6.94,6.97,2302
2024-03-08 15:14:00+00:00,6.96,7.0,6.9135,6.93,11704
2024-03-08 15:16:00+00:00,6.95,6.96,6.91,6.955,7606
2024-03-08 15:18:00+00:00,6.98,6.99,6.95,6.99,4090
2024-03-08 15:20:00+00:00,6.98,6.99,6.95,6.99,2645
2024-03-08 15:22:00+00:00,6.99,6.99,6.95,6.97,2899
2024-03-08 15:24:00+00:00,6.99,7.01,6.96,6.97,14593
2024-03-08 15:26:00+00:00,6.96,7.0,6.96,6.995,6239
2024-03-08 15:28:00+00:00,7.0,7.01,6.99,7.005,13583
2024-03-08 15:30:00+00:00,7.005,7.005,6.965,6.97,3318
2024-03-08 15:32:00+00:00,6.99,7.0,6.97,7.0,11078
2024-03-08 15:34:00+00:00,7.0,7.0,6.98,7.0,15285
2024-03-08 15:36:00+00:00,7.0,7.02,7.0,7.0,19960
2024-03-08 15:38:00+00:00,7.0,7.01,6.9801,7.0,21294
2024-03-08 15:40:00+00:00,7.005,7.01,7.0,7.0,13402
2024-03-08 15:42:00+00:00,7.005,7.01,6.99,6.9999,12430
2024-03-08 15:44:00+00:00,7.0,7.0,7.0,7.0,2588
2024-03-08 15:46:00+00:00,7.0,7.0,6.99,7.0,2128
2024-03-08 15:48:00+00:00,7.0,7.005,6.98,6.99,10294
2024-03-08 15:50:00+00:00,6.995,7.0,6.97,7.0,17506
2024-03-08 15:52:00+00:00,7.0,7.0,6.99,6.995,3259
2024-03-08 15:54:00+00:00,6.995,7.0,6.995,6.995,5714
2024-03-08 15:56:00+00:00,6.995,7.005,6.995,6.995,10578
2024-03-08 15:58:00+00:00,7.0,7.0,6.995,6.995,3656
2024-03-08 16:00:00+00:00,6.995,7.0,6.985,6.985,9656
2024-03-08 16:02:00+00:00,6.985,6.985,6.95,6.96,2947
2024-03-08 16:04:00+00:00,6.945,6.97,6.94,6.97,7393
2024-03-08 16:06:00+00:00,6.99,6.99,6.975,6.975,2121
2024-03-08 16:08:00+00:00,6.975,6.99,6.975,6.99,1631
2024-03-08 16:10:00+00:00,6.9601,6.99,6.9601,6.9701,2191
2024-03-08 16:12:00+00:00,6.97,6.98,6.955,6.98,6466
2024-03-08 16:14:00+00:00,6.9543,6.965,6.9543,6.965,249
2024-03-08 16:18:00+00:00,6.98,6.98,6.965,6.965,3363
