Datetime,Open,High,Low,Close,Volume
2024-03-08 09:00:00+00:00,6.2,6.3,6.0,6.29,6567
2024-03-08 09:02:00+00:00,6.28,6.29,6.28,6.29,997
2024-03-08 09:04:00+00:00,6.31,6.31,6.31,6.31,212
2024-03-08 09:08:00+00:00,6.4,6.4,6.38,6.38,449
2024-03-08 09:10:00+00:00,6.37,6.39,6.37,6.39,1221
2024-03-08 09:14:00+00:00,6.4,6.4,6.37,6.37,847
2024-03-08 09:16:00+00:00,6.44,6.44,6.44,6.44,301
2024-03-08 09:18:00+00:00,6.46,6.46,6.46,6.46,401
2024-03-08 09:20:00+00:00,6.49,6.49,6.48,6.49,5287
2024-03-08 09:26:00+00:00,6.46,6.47,6.45,6.45,7444
2024-03-08 09:28:00+00:00,6.44,6.47,6.44,6.47,2440
2024-03-08 09:30:00+00:00,6.44,6.48,6.44,6.48,1141
2024-03-08 09:34:00+00:00,6.48,6.48,6.45,6.45,882
2024-03-08 09:40:00+00:00,6.49,6.52,6.49,6.52,2254
2024-03-08 09:42:00+00:00,6.52,6.52,6.52,6.52,611
2024-03-08 09:44:00+00:00,6.56,6.57,6.56,6.57,1028
2024-03-08 09:46:00+00:00,6.63,6.63,6.63,6.63,585
2024-03-08 09:48:00+00:00,6.63,6.63,6.59,6.59,1313
2024-03-08 09:50:00+00:00,6.58,6.62,6.58,6.6,1420
2024-03-08 09:52:00+00:00,6.62,6.63,6.62,6.62,1147
2024-03-08 09:54:00+00:00,6.62,6.63,6.6,6.63,4409
2024-03-08 09:56:00+00:00,6.63,6.63,6.63,6.63,1400
2024-03-08 09:58:00+00:00,6.63,6.66,6.63,6.66,1113
2024-03-08 10:00:00+00:00,6.67,6.68,6.67,6.68,521
2024-03-08 10:02:00+00:00,6.72,6.76,6.72,6.76,7029
2024-03-08 10:04:00+00:00,6.72,6.74,6.58,6.58,4750
2024-03-08 10:06:00+00:00,6.6,6.69,6.6,6.69,1755
2024-03-08 10:08:00+00:00,6.64,6.64,6.59,6.61,1759
2024-03-08 10:10:00+00:00,6.64,6.64,6.64,6.64,632
2024-03-08 10:12:00+00:00,6.65,6.67,6.65,6.67,1182
2024-03-08 10:14:00+00:00,6.66,6.66,6.6,6.6,2619
2024-03-08 10:16:00+00:00,6.65,6.65,6.6,6.64,896
2024-03-08 10:18:00+00:00,6.64,6.67,6.62,6.67,2316
2024-03-08 10:20:00+00:00,6.74,6.75,6.72,6.72,1590
2024-03-08 10:22:00+00:00,6.72,6.72,6.72,6.72,706
2024-03-08 10:24:00+00:00,6.67,6.67,6.59,6.59,2413
2024-03-08 10:26:00+00:00,6.6,6.61,6.6,6.6,574
2024-03-08 10:28:00+00:00,6.6,6.6,6.59,6.59,1300
2024-03-08 10:30:00+00:00,6.61,6.61,6.61,6.61,1100
2024-03-08 10:34:00+00:00,6.63,6.63,6.57,6.59,3278
2024-03-08 10:36:00+00:00,6.59,6.6,6.59,6.6,843
2024-03-08 10:38:00+00:00,6.57,6.57,6.53,6.55,1979
2024-03-08 10:40:00+00:00,6.56,6.56,6.56,6.56,269
2024-03-08 10:44:00+00:00,6.57,6.57,6.55,6.55,2089
2024-03-08 10:46:00+00:00,6.55,6.56,6.55,6.56,3869
2024-03-08 10:48:00+00:00,6.56,6.56,6.55,6.55,17427
2024-03-08 10:50:00+00:00,6.48,6.49,6.45,6.46,1963
2024-03-08 10:56:00+00:00,6.42,6.42,6.42,6.42,450
2024-03-08 10:58:00+00:00,6.46,6.49,6.46,6.49,874
2024-03-08 11:04:00+00:00,6.5,6.5,6.49,6.49,500
2024-03-08 11:08:00+00:00,6.46,6.46,6.46,6.46,116
2024-03-08 11:14:00+00:00,6.49,6.49,6.49,6.49,950
2024-03-08 11:16:00+00:00,6.48,6.5,6.48,6.5,1102
2024-03-08 11:18:00+00:00,6.5,6.5,6.5,6.5,284
2024-03-08 11:28:00+00:00,6.48,6.48,6.44,6.44,1001
2024-03-08 11:30:00+00:00,6.4,6.4,6.4,6.4,287
2024-03-08 11:32:00+00:00,6.39,6.39,6.39,6.39,284
2024-03-08 11:34:00+00:00,6.37,6.37,6.33,6.34,4378
2024-03-08 11:36:00+00:00,6.35,6.6,6.34,6.6,57194
2024-03-08 11:38:00+00:00,6.48,6.59,6.43,6.55,9816
2024-03-08 11:42:00+00:00,6.43,6.43,6.43,6.43,200
2024-03-08 11:44:00+00:00,6.49,6.51,6.49,6.51,504
2024-03-08 11:46:00+00:00,6.47,6.48,6.47,6.47,500
2024-03-08 11:50:00+00:00,6.48,6.55,6.48,6.55,13980
2024-03-08 11:56:00+00:00,6.45,6.55,6.45,6.55,30769
2024-03-08 12:00:00+00:00,6.46,6.47,6.45,6.45,7210
2024-03-08 12:02:00+00:00,6.45,6.55,6.45,6.51,21495
2024-03-08 12:08:00+00:00,6.51,6.53,6.51,6.51,3530
2024-03-08 12:10:00+00:00,6.52,6.6,6.52,6.6,4595
2024-03-08 12:12:00+00:00,6.51,6.51,6.51,6.51,690
2024-03-08 12:14:00+00:00,6.51,6.52,6.5,6.52,1881
2024-03-08 12:16:00+00:00,6.51,6.54,6.5,6.53,1788
2024-03-08 12:18:00+00:00,6.56,6.6,6.56,6.6,4163
2024-03-08 12:20:00+00:00,6.55,6.55,6.5,6.5,3620
2024-03-08 12:24:00+00:00,6.56,6.56,6.56,6.56,1014
2024-03-08 12:28:00+00:00,6.56,6.56,6.55,6.56,1758
2024-03-08 12:30:00+00:00,6.57,6.58,6.55,6.55,2991
2024-03-08 12:32:00+00:00,6.56,6.58,6.56,6.57,4390
2024-03-08 12:34:00+00:00,6.59,6.59,6.59,6.59,173
2024-03-08 12:36:00+00:00,6.57,6.57,6.57,6.57,1157
2024-03-08 12:38:00+00:00,6.58,6.58,6.58,6.58,2500
2024-03-08 12:40:00+00:00,6.58,6.58,6.57,6.57,924
2024-03-08 12:42:00+00:00,6.54,6.54,6.54,6.54,600
2024-03-08 12:44:00+00:00,6.54,6.54,6.52,6.52,20415
2024-03-08 12:48:00+00:00,6.51,6.51,6.51,6.51,267
2024-03-08 12:54:00+00:00,6.53,6.55,6.53,6.55,1200
2024-03-08 12:56:00+00:00,6.54,6.55,6.54,6.55,541
2024-03-08 12:58:00+00:00,6.55,6.55,6.52,6.52,3771
2024-03-08 13:00:00+00:00,6.45,6.7726,6.3697,6.54,88669
2024-03-08 13:02:00+00:00,6.56,6.56,5.61,5.61,3153
2024-03-08 13:04:00+00:00,6.54,6.55,6.54,6.55,927
2024-03-08 13:06:00+00:00,6.51,6.5499,6.13,6.13,3296
2024-03-08 13:10:00+00:00,6.51,6.51,6.51,6.51,437
2024-03-08 13:12:00+00:00,6.5,6.53,6.5,6.53,2576
2024-03-08 13:14:00+00:00,6.5124,6.56,6.5124,6.5576,3900
2024-03-08 13:22:00+00:00,6.5424,6.56,6.5424,6.56,476
2024-03-08 13:24:00+00:00,6.56,6.57,6.54,6.54,1684
2024-03-08 13:26:00+00:00,6.55,6.55,6.55,6.55,473
2024-03-08 13:28:00+00:00,6.54,6.54,6.54,6.54,1042
2024-03-08 13:30:00+00:00,6.53,6.58,6.5,6.58,6838
2024-03-08 13:34:00+00:00,6.59,6.63,6.57,6.63,2747
2024-03-08 13:36:00+00:00,6.6,6.6,6.59,6.59,1015
