Datetime,Open,High,Low,Close,Volume
2024-03-22 08:04:00+00:00,2.78,2.83,2.78,2.83,473
2024-03-22 08:06:00+00:00,2.83,2.83,2.83,2.83,181
2024-03-22 08:10:00+00:00,2.52,2.52,2.52,2.52,150
2024-03-22 08:12:00+00:00,2.5,2.5,2.5,2.5,179
2024-03-22 08:32:00+00:00,2.5,2.5,2.5,2.5,100
2024-03-22 09:28:00+00:00,2.5,2.5,2.5,2.5,200
2024-03-22 09:30:00+00:00,2.65,2.65,2.65,2.65,210
2024-03-22 11:04:00+00:00,2.59,2.59,2.59,2.59,327
2024-03-22 11:06:00+00:00,2.56,2.57,2.56,2.57,401
2024-03-22 11:22:00+00:00,2.53,2.53,2.53,2.53,100
2024-03-22 11:30:00+00:00,2.57,2.57,2.56,2.56,450
2024-03-22 11:52:00+00:00,2.6,2.6,2.59,2.6,524
2024-03-22 12:00:00+00:00,2.54,2.6,2.53,2.5999,4513
2024-03-22 12:04:00+00:00,2.6,2.6,2.6,2.6,235
2024-03-22 12:06:00+00:00,2.6,2.6,2.6,2.6,477
2024-03-22 12:14:00+00:00,2.6484,2.6484,2.6484,2.6484,200
2024-03-22 12:16:00+00:00,2.6,2.6,2.53,2.53,1018
2024-03-22 12:18:00+00:00,2.53,2.53,2.53,2.53,184
2024-03-22 12:26:00+00:00,2.53,2.53,2.52,2.52,462
2024-03-22 12:32:00+00:00,2.5,2.5,2.5,2.5,254
2024-03-22 12:36:00+00:00,2.55,2.55,2.55,2.55,300
2024-03-22 12:54:00+00:00,2.58,2.58,2.58,2.58,100
2024-03-22 13:16:00+00:00,2.51,2.52,2.51,2.52,354
2024-03-22 13:30:00+00:00,2.57,2.76,2.57,2.5971,7784
2024-03-22 13:32:00+00:00,2.63,2.76,2.615,2.615,4056
2024-03-22 13:34:00+00:00,2.5214,2.5267,2.5201,2.5267,2200
2024-03-22 13:36:00+00:00,2.59,2.59,2.5213,2.585,5901
2024-03-22 13:38:00+00:00,2.52,2.57,2.5047,2.5047,2413
2024-03-22 13:40:00+00:00,2.5302,2.535,2.42,2.4851,3516
2024-03-22 13:42:00+00:00,2.41,2.45,2.35,2.44,6936
2024-03-22 13:46:00+00:00,2.46,2.46,2.455,2.455,4081
