Datetime,Open,High,Low,Close,Volume
2024-03-11 08:04:00+00:00,37.8,37.8,37.8,37.8,5.15
2024-03-11 08:10:00+00:00,39.0,39.0,39.0,39.0,10.0
2024-03-11 08:12:00+00:00,39.6,42.2,39.6,39.8,441.9
2024-03-11 08:18:00+00:00,36.4,36.4,36.4,36.4,20.4
2024-03-11 08:20:00+00:00,38.4,38.4,38.4,38.4,15.4
2024-03-11 08:26:00+00:00,35.6,35.6,35.6,35.6,6.05
2024-03-11 08:30:00+00:00,38.0,38.0,38.0,38.0,12.05
2024-03-11 08:40:00+00:00,37.8,38.0,37.8,38.0,35.45
2024-03-11 08:46:00+00:00,37.0,37.0,37.0,37.0,5.9
2024-03-11 08:54:00+00:00,37.8,38.2,37.8,38.2,50.0
2024-03-11 09:04:00+00:00,38.0,38.2,38.0,38.2,60.0
2024-03-11 09:06:00+00:00,36.8,36.8,36.8,36.8,165.0
2024-03-11 09:10:00+00:00,36.8,37.0,36.8,37.0,20.0
2024-03-11 09:12:00+00:00,36.4,37.4,36.4,37.4,20.75
2024-03-11 09:52:00+00:00,37.8,37.8,37.8,37.8,15.0
2024-03-11 11:40:00+00:00,37.0,37.0,37.0,37.0,5.0
2024-03-11 11:42:00+00:00,37.0,37.6,37.0,37.6,30.0
2024-03-11 11:46:00+00:00,38.0,38.0,38.0,38.0,10.0
2024-03-11 11:48:00+00:00,38.0,38.2,38.0,38.2,90.0
2024-03-11 11:50:00+00:00,38.2,39.0,38.2,39.0,84.45
2024-03-11 11:54:00+00:00,38.4,38.4,38.4,38.4,15.0
2024-03-11 12:00:00+00:00,37.8,38.4,35.614,38.0,118.8
2024-03-11 12:04:00+00:00,38.8,38.8,38.8,38.8,49.5
2024-03-11 12:06:00+00:00,37.8,37.8,37.8,37.8,18.7
2024-03-11 12:08:00+00:00,38.8,38.8,38.8,38.8,27.5
2024-03-11 12:10:00+00:00,38.8,39.8,38.6,39.8,1316.25
2024-03-11 12:12:00+00:00,38.8,40.0,38.4,40.0,1471.05
2024-03-11 12:14:00+00:00,38.8,38.8,38.6,38.6,52.9
2024-03-11 12:16:00+00:00,38.0,38.0,38.0,38.0,134.75
2024-03-11 12:18:00+00:00,38.8,38.8,38.8,38.8,25.65
2024-03-11 12:22:00+00:00,39.4,39.4,39.4,39.4,8.8
2024-03-11 12:24:00+00:00,39.6,39.6,38.6,38.6,85.7
2024-03-11 12:26:00+00:00,38.8,38.8,38.4,38.4,32.5
2024-03-11 12:34:00+00:00,39.0,39.6,39.0,39.6,385.0
2024-03-11 12:36:00+00:00,39.6,39.6,39.4,39.4,10.45
2024-03-11 12:38:00+00:00,39.4,39.4,39.4,39.4,48.15
2024-03-11 12:40:00+00:00,38.4,38.6,38.2,38.6,30.0
2024-03-11 12:50:00+00:00,38.8,38.8,38.6,38.8,40.0
2024-03-11 12:52:00+00:00,39.6,39.6,38.8,39.0,70.10000000000001
2024-03-11 13:00:00+00:00,39.2,39.4,39.2,39.4,25.0
2024-03-11 13:04:00+00:00,39.4,39.6,39.4,39.6,46.3
2024-03-11 13:06:00+00:00,39.4,39.6,39.0,39.0,76.75
2024-03-11 13:08:00+00:00,40.0,40.0,39.4,39.4,431.59999999999997
2024-03-11 13:10:00+00:00,39.402,39.402,39.402,39.402,5.1
2024-03-11 13:12:00+00:00,39.4,39.4,39.0,39.0,38.65
2024-03-11 13:14:00+00:00,39.6,39.6,39.6,39.6,57.65
2024-03-11 13:22:00+00:00,39.6,39.6,39.6,39.6,12.5
2024-03-11 13:24:00+00:00,39.6,39.798,39.6,39.6,44.25
2024-03-11 13:26:00+00:00,39.2,39.2,39.2,39.2,65.85
2024-03-11 13:28:00+00:00,39.4,39.6,39.4,39.4,98.0
2024-03-11 13:30:00+00:00,39.8,40.2,37.4,37.4,4182.1
2024-03-11 13:32:00+00:00,37.06,37.1,36.2,36.2,951.2
2024-03-11 13:34:00+00:00,36.3,36.3,35.4,35.6,615.0
2024-03-11 13:36:00+00:00,35.6,35.6,34.0,34.154,2441.6
2024-03-11 13:38:00+00:00,34.0,35.0,34.0,34.65,589.5999999999999
2024-03-11 13:40:00+00:00,34.602,34.996,34.2,34.2,572.55
2024-03-11 13:42:00+00:00,34.2,34.4,34.0,34.2,1913.0
2024-03-11 13:44:00+00:00,34.4,35.2,34.394,34.968,757.3
2024-03-11 13:46:00+00:00,34.98,34.98,34.0,34.0,169.25
2024-03-11 13:48:00+00:00,34.4,34.7,34.12,34.6,911.1
2024-03-11 13:50:00+00:00,34.602,35.2,34.2,34.8,506.45
2024-03-11 13:52:00+00:00,34.994,35.01,34.6,34.6,1026.9
2024-03-11 13:54:00+00:00,34.6,34.6,33.2,33.8,3361.5499999999997
2024-03-11 13:56:00+00:00,33.42,33.6,32.4,33.2,1744.6499999999999
2024-03-11 13:58:00+00:00,33.598,33.598,33.598,33.598,153.45
2024-03-11 14:00:00+00:00,33.002,34.6,33.002,33.8,2226.6
2024-03-11 14:02:00+00:00,33.868,34.0,33.6,33.6,149.2
2024-03-11 14:04:00+00:00,33.6,33.602,33.4,33.6,48.35
2024-03-11 14:06:00+00:00,33.6,33.6,32.8,33.4,602.85
2024-03-11 14:08:00+00:00,33.5,33.6,33.4,33.6,279.6
2024-03-11 14:10:00+00:00,33.2,33.4,33.2,33.4,30.0
2024-03-11 14:12:00+00:00,33.546,33.6,33.4,33.4,232.2
2024-03-11 14:14:00+00:00,33.4,33.6,33.2,33.6,37.5
2024-03-11 14:16:00+00:00,33.8,34.2,33.7,34.0,636.7
2024-03-11 14:18:00+00:00,33.8,35.4,33.6,34.6,3466.85
2024-03-11 14:20:00+00:00,34.4,35.14,34.4,35.0,312.0
2024-03-11 14:22:00+00:00,34.998,34.998,34.872,34.872,143.35
2024-03-11 14:24:00+00:00,34.4,34.4,33.8,33.8,134.9
2024-03-11 14:26:00+00:00,34.2,34.2,34.2,34.2,75.35
2024-03-11 14:28:00+00:00,34.2,34.2,33.4,33.4,473.05
2024-03-11 14:30:00+00:00,33.2,34.2,33.2,34.2,1694.8000000000002
2024-03-11 14:32:00+00:00,34.142,34.142,33.6,33.6,41.0
2024-03-11 14:34:00+00:00,33.6,33.798,33.4,33.786,553.45
2024-03-11 14:36:00+00:00,33.776,33.776,33.564,33.564,269.29999999999995
2024-03-11 14:38:00+00:00,33.54,33.54,33.0,33.0,178.05
2024-03-11 14:40:00+00:00,33.2,33.2,33.2,33.2,15.7
2024-03-11 14:44:00+00:00,33.02,33.2,33.0,33.2,75.6
2024-03-11 14:46:00+00:00,33.396,33.4,33.2,33.2,95.45
2024-03-11 14:48:00+00:00,33.0,33.2,33.0,33.2,222.55
2024-03-11 14:50:00+00:00,33.2,33.596,33.2,33.596,130.35
2024-03-11 14:52:00+00:00,33.6,33.6,33.6,33.6,5.5
2024-03-11 14:54:00+00:00,33.4,33.6,33.2,33.6,307.70000000000005
2024-03-11 14:56:00+00:00,33.4,33.4,33.238,33.238,62.5
2024-03-11 14:58:00+00:00,33.362,33.362,33.362,33.362,5.1
2024-03-11 15:00:00+00:00,33.2,33.2,33.0,33.2,275.0
2024-03-11 15:02:00+00:00,32.8,32.8,32.6,32.6,245.85
2024-03-11 15:04:00+00:00,32.636,32.636,32.636,32.636,14.9
2024-03-11 15:06:00+00:00,32.8,32.9,32.8,32.8,120.5
2024-03-11 15:08:00+00:00,32.8,33.0,32.6,33.0,681.4
2024-03-11 15:10:00+00:00,32.998,33.4,32.946,32.946,313.2
2024-03-11 15:12:00+00:00,32.8,32.8,32.8,32.8,20.45
2024-03-11 15:14:00+00:00,32.792,32.792,32.792,32.792,50.05
2024-03-11 15:16:00+00:00,32.8,32.8,32.8,32.8,287.1
2024-03-11 15:18:00+00:00,32.6,32.8,32.6,32.8,47.85
2024-03-11 15:20:00+00:00,32.7,32.7,32.6,32.6,16.65
2024-03-11 15:22:00+00:00,32.4,32.6,32.3,32.3,233.2
2024-03-11 15:24:00+00:00,32.344,32.344,32.2,32.2,87.89999999999999
2024-03-11 15:26:00+00:00,32.214,32.396,32.214,32.396,42.95
2024-03-11 15:28:00+00:00,32.4,32.4,32.4,32.4,92.45
2024-03-11 15:30:00+00:00,32.4,32.4,32.22,32.22,73.65
2024-03-11 15:32:00+00:00,32.3,32.3,32.2,32.3,75.5
2024-03-11 15:34:00+00:00,32.3,32.336,32.23,32.336,77.55
2024-03-11 15:36:00+00:00,32.3,32.3,32.2,32.2,119.2
2024-03-11 15:38:00+00:00,32.386,32.386,32.0,32.0,163.95
2024-03-11 15:40:00+00:00,32.0,32.0,31.9,31.9,43.3
2024-03-11 15:42:00+00:00,31.8,32.4,31.6,32.23,749.3
2024-03-11 15:44:00+00:00,32.4,32.4,32.4,32.4,142.95
2024-03-11 15:46:00+00:00,32.4,32.4,32.004,32.004,958.4
2024-03-11 15:48:00+00:00,32.0,32.024,32.0,32.0,145.3
2024-03-11 15:50:00+00:00,32.0,32.8,32.0,32.414,350.4
2024-03-11 15:52:00+00:00,32.402,32.402,32.402,32.402,40.9
2024-03-11 15:54:00+00:00,32.6,33.0,32.6,32.774,1175.5
2024-03-11 15:56:00+00:00,32.7,32.7,32.478,32.478,159.1
2024-03-11 15:58:00+00:00,32.4,32.4,32.2,32.2,180.0
2024-03-11 16:02:00+00:00,32.3,32.3,32.3,32.3,6.35
2024-03-11 16:04:00+00:00,32.3,32.4,32.2,32.2,264.04999999999995
2024-03-11 16:06:00+00:00,32.4,32.4,32.4,32.4,37.75
2024-03-11 16:08:00+00:00,32.558,32.558,32.558,32.558,75.6
2024-03-11 16:10:00+00:00,32.584,32.6,32.58,32.6,176.75
2024-03-11 16:12:00+00:00,32.6,33.0,32.6,32.6,145.05
2024-03-11 16:14:00+00:00,32.8,33.0,32.8,33.0,321.8
2024-03-11 16:18:00+00:00,32.988,32.988,32.8,32.8,22.6
2024-03-11 16:20:00+00:00,32.99,32.99,32.99,32.99,54.4
2024-03-11 16:22:00+00:00,32.8,32.8,32.8,32.8,5.0
2024-03-11 16:24:00+00:00,32.8,32.8,32.8,32.8,52.8
2024-03-11 16:26:00+00:00,32.8,32.8,32.8,32.8,53.25
2024-03-11 16:28:00+00:00,32.8,32.8,32.8,32.8,46.75
2024-03-11 16:30:00+00:00,32.8,32.8,32.8,32.8,50.95
2024-03-11 16:32:00+00:00,32.68,32.68,32.68,32.68,11.9
2024-03-11 16:34:00+00:00,32.776,32.776,32.6,32.6,106.69999999999999
