Datetime,Open,High,Low,Close,Volume
2024-03-22 08:06:00+00:00,14.86,18.0,14.86,18.0,2734
2024-03-22 08:08:00+00:00,22.34,22.78,19.99,19.99,3987
2024-03-22 08:12:00+00:00,19.0,23.88,19.0,23.0,4758
2024-03-22 08:16:00+00:00,24.96,27.0,24.51,27.0,5833
2024-03-22 08:18:00+00:00,27.1,30.06,26.89,30.06,10109
2024-03-22 08:20:00+00:00,31.22,31.64,28.98,30.28,7010
2024-03-22 08:22:00+00:00,30.0,36.14,29.86,34.55,9508
2024-03-22 08:24:00+00:00,34.52,40.45,34.52,38.7,12294
2024-03-22 08:26:00+00:00,40.8,41.23,40.0,40.0,10817
2024-03-22 08:28:00+00:00,39.99,41.84,39.99,41.25,7915
2024-03-22 08:30:00+00:00,42.0,43.07,41.88,42.95,9736
2024-03-22 08:32:00+00:00,42.5,42.5,42.5,42.5,3190
2024-03-22 08:34:00+00:00,41.38,41.38,34.84,34.84,12557
2024-03-22 08:36:00+00:00,33.68,37.31,33.68,37.31,6165
2024-03-22 08:38:00+00:00,40.23,41.17,40.23,41.17,5337
2024-03-22 08:40:00+00:00,41.06,41.06,41.06,41.06,3169
2024-03-22 08:42:00+00:00,36.66,38.0,36.66,38.0,2316
2024-03-22 08:44:00+00:00,37.55,37.55,37.55,37.55,1215
2024-03-22 08:46:00+00:00,37.42,38.52,37.42,38.52,1449
2024-03-22 08:58:00+00:00,35.0,35.0,35.0,35.0,3779
2024-03-22 09:00:00+00:00,35.84,35.84,35.84,35.84,1026
2024-03-22 09:02:00+00:00,34.85,35.26,34.85,35.26,1982
2024-03-22 09:04:00+00:00,33.83,33.83,33.83,33.83,1119
2024-03-22 09:06:00+00:00,34.68,34.68,34.68,34.68,478
2024-03-22 09:12:00+00:00,36.1,36.1,36.1,36.1,544
2024-03-22 09:28:00+00:00,34.18,34.18,34.18,34.18,564
2024-03-22 09:36:00+00:00,35.05,35.05,35.05,35.05,978
2024-03-22 09:50:00+00:00,34.8,34.8,33.84,33.84,1462
2024-03-22 09:52:00+00:00,28.53,28.53,24.0,24.0,12261
2024-03-22 09:54:00+00:00,24.0,25.0,23.8,25.0,6555
2024-03-22 09:56:00+00:00,24.5,24.5,24.5,24.5,1486
2024-03-22 09:58:00+00:00,23.5,25.2,23.02,25.2,6982
2024-03-22 10:00:00+00:00,24.8,26.0,24.8,26.0,2944
2024-03-22 10:02:00+00:00,26.97,27.0,26.5,27.0,6339
2024-03-22 10:04:00+00:00,26.26,26.26,24.99,24.99,3009
2024-03-22 10:08:00+00:00,26.44,26.7,26.44,26.7,3627
2024-03-22 10:12:00+00:00,26.84,26.85,26.84,26.85,1645
2024-03-22 10:14:00+00:00,26.99,26.99,26.86,26.9,2069
2024-03-22 10:16:00+00:00,27.6,28.0,23.51,24.77,9814
2024-03-22 10:18:00+00:00,24.14,24.82,23.98,24.75,4594
2024-03-22 10:20:00+00:00,24.01,24.98,24.01,24.98,4660
2024-03-22 10:22:00+00:00,24.1,24.1,24.02,24.02,1871
2024-03-22 10:24:00+00:00,24.1,24.1,23.67,23.67,3218
2024-03-22 10:32:00+00:00,23.43,23.52,23.43,23.52,2041
2024-03-22 10:34:00+00:00,23.65,23.65,23.65,23.65,627
2024-03-22 10:36:00+00:00,23.54,23.54,23.54,23.54,1021
2024-03-22 10:38:00+00:00,23.13,23.13,21.5,21.5,6663
2024-03-22 10:40:00+00:00,22.9,22.9,22.9,22.9,3225
2024-03-22 10:42:00+00:00,22.68,22.68,22.62,22.62,1324
2024-03-22 10:46:00+00:00,23.44,23.44,23.44,23.44,716
2024-03-22 10:48:00+00:00,24.5,25.33,24.5,25.33,5390
2024-03-22 10:50:00+00:00,26.03,26.19,25.47,25.47,7096
2024-03-22 10:52:00+00:00,26.03,28.27,26.03,28.22,14011
2024-03-22 10:54:00+00:00,27.83,28.02,26.97,27.33,7901
2024-03-22 10:56:00+00:00,26.0,26.0,26.0,26.0,2288
2024-03-22 10:58:00+00:00,25.52,25.52,24.01,24.01,6783
2024-03-22 11:00:00+00:00,25.4,26.39,25.4,25.9,2635
2024-03-22 11:02:00+00:00,26.0,26.73,25.0,26.25,10140
2024-03-22 11:04:00+00:00,26.6,26.6,25.25,25.25,4060
2024-03-22 11:06:00+00:00,25.67,26.94,25.67,26.94,5544
2024-03-22 11:08:00+00:00,27.0,29.49,26.94,29.49,15046
2024-03-22 11:10:00+00:00,29.99,29.99,27.74,28.24,21953
2024-03-22 11:12:00+00:00,28.0,29.99,28.0,28.62,19088
2024-03-22 11:14:00+00:00,28.5,28.62,27.57,27.6,10873
2024-03-22 11:16:00+00:00,28.37,28.37,28.3,28.3,4900
2024-03-22 11:18:00+00:00,28.15,28.43,27.73,27.73,7717
2024-03-22 11:20:00+00:00,27.65,28.48,27.65,28.35,7081
2024-03-22 11:22:00+00:00,28.5,28.8,28.07,28.07,10841
2024-03-22 11:24:00+00:00,28.11,28.11,28.11,28.11,1012
2024-03-22 11:26:00+00:00,28.32,28.32,27.5,27.5,9212
2024-03-22 11:28:00+00:00,27.9,28.05,27.45,27.45,8540
2024-03-22 11:30:00+00:00,27.72,28.0,27.72,27.95,4510
2024-03-22 11:32:00+00:00,28.5,28.5,26.91,27.1,12184
2024-03-22 11:34:00+00:00,27.45,27.6,25.0,25.43,13531
2024-03-22 11:36:00+00:00,24.66,26.29,24.66,26.15,15225
2024-03-22 11:38:00+00:00,26.1,26.1,25.66,25.8,3368
2024-03-22 11:40:00+00:00,25.63,26.3,25.63,26.05,6425
2024-03-22 11:42:00+00:00,26.0,26.96,26.0,26.96,9886
2024-03-22 11:44:00+00:00,27.0,27.49,26.3,27.1,6741
2024-03-22 11:46:00+00:00,27.0,27.64,27.0,27.14,7276
2024-03-22 11:48:00+00:00,26.51,26.51,26.22,26.22,1937
2024-03-22 11:50:00+00:00,26.02,26.84,26.02,26.15,8073
2024-03-22 11:52:00+00:00,26.25,26.25,26.15,26.25,1558
2024-03-22 11:54:00+00:00,25.92,25.92,25.92,25.92,1758
2024-03-22 11:56:00+00:00,25.88,25.88,25.88,25.88,338
2024-03-22 11:58:00+00:00,26.03,26.03,24.61,24.61,8625
2024-03-22 12:00:00+00:00,26.0,29.88,24.66,25.5,19201
2024-03-22 12:02:00+00:00,25.0,25.95,25.0,25.95,2718
2024-03-22 12:04:00+00:00,25.12,27.17,24.66,27.17,4553
2024-03-22 12:06:00+00:00,24.44,29.97,24.41,24.53,12281
2024-03-22 12:08:00+00:00,25.0,29.72,24.53,24.53,8365
2024-03-22 12:10:00+00:00,24.53,25.25,24.53,25.0,8604
2024-03-22 12:12:00+00:00,24.98,28.0,24.98,25.8,4425
2024-03-22 12:14:00+00:00,25.7,25.98,25.7,25.94,3401
2024-03-22 12:16:00+00:00,26.02,26.28,25.15,25.41,5208
2024-03-22 12:18:00+00:00,25.58,25.8708,24.89,24.89,4684
2024-03-22 12:20:00+00:00,24.88,25.0,24.88,25.0,2899
2024-03-22 12:22:00+00:00,24.54,24.6,24.53,24.6,3900
2024-03-22 12:24:00+00:00,24.62,24.62,22.2,22.2,10821
2024-03-22 12:26:00+00:00,22.0,22.84,21.88,22.67,9497
2024-03-22 12:28:00+00:00,22.5,22.54,21.7,21.7,9241
2024-03-22 12:30:00+00:00,22.2,22.27,22.03,22.03,2483
2024-03-22 12:32:00+00:00,22.54,23.0218,22.53,22.99,5004
2024-03-22 12:34:00+00:00,22.8,22.9998,22.59,22.68,3220
2024-03-22 12:36:00+00:00,22.4761,22.4761,22.4761,22.4761,436
2024-03-22 12:38:00+00:00,22.473,22.95,22.34,22.95,2247
2024-03-22 12:40:00+00:00,22.5,22.9425,22.5,22.9425,1788
