Datetime,Open,High,Low,Close,Volume
2024-03-07 09:00:00+00:00,28.8,30.98,28.8,30.98,872
2024-03-07 09:02:00+00:00,30.99,31.04,30.99,31.02,679
2024-03-07 09:04:00+00:00,31.04,31.04,31.04,31.04,200
2024-03-07 09:06:00+00:00,31.09,31.14,31.05,31.05,1315
2024-03-07 09:10:00+00:00,31.07,31.18,31.07,31.17,802
2024-03-07 09:12:00+00:00,31.18,31.23,31.18,31.23,600
2024-03-07 09:22:00+00:00,31.08,31.09,31.08,31.09,400
2024-03-07 09:28:00+00:00,31.3,31.31,31.29,31.31,1100
2024-03-07 09:30:00+00:00,31.28,31.32,31.28,31.29,620
2024-03-07 09:32:00+00:00,31.31,31.32,31.28,31.28,662
2024-03-07 09:34:00+00:00,31.32,31.47,31.11,31.11,3684
2024-03-07 09:36:00+00:00,31.34,31.34,31.24,31.24,850
2024-03-07 09:38:00+00:00,31.24,31.26,31.13,31.13,1094
2024-03-07 09:40:00+00:00,31.1,31.18,31.1,31.18,612
2024-03-07 09:42:00+00:00,31.18,31.2,31.18,31.2,331
2024-03-07 09:44:00+00:00,31.2,31.2,31.2,31.2,200
2024-03-07 09:46:00+00:00,31.25,31.25,31.25,31.25,131
2024-03-07 09:48:00+00:00,31.4,31.4,31.39,31.4,217
2024-03-07 09:50:00+00:00,31.41,31.41,31.41,31.41,233
2024-03-07 09:52:00+00:00,31.38,31.38,31.38,31.38,212
2024-03-07 09:56:00+00:00,31.68,31.68,31.66,31.66,856
2024-03-07 09:58:00+00:00,31.7,31.71,31.7,31.71,1358
2024-03-07 10:04:00+00:00,31.48,31.48,31.48,31.48,665
2024-03-07 10:10:00+00:00,31.3,31.3,31.3,31.3,1234
2024-03-07 10:48:00+00:00,32.04,32.04,32.01,32.01,765
2024-03-07 11:04:00+00:00,32.17,32.17,32.17,32.17,800
2024-03-07 11:06:00+00:00,32.08,32.08,32.07,32.07,900
2024-03-07 11:08:00+00:00,31.96,31.96,31.96,31.96,801
2024-03-07 11:16:00+00:00,32.07,32.07,32.07,32.07,801
2024-03-07 11:18:00+00:00,31.98,31.98,31.97,31.97,900
2024-03-07 11:24:00+00:00,31.82,31.82,31.82,31.82,800
2024-03-07 11:30:00+00:00,31.88,31.88,31.88,31.88,940
2024-03-07 11:44:00+00:00,32.11,32.11,32.11,32.11,100
2024-03-07 11:58:00+00:00,32.28,32.3,32.28,32.3,1800
2024-03-07 12:00:00+00:00,32.3,32.33,32.3,32.32,4231
2024-03-07 12:02:00+00:00,32.42,32.42,32.42,32.42,1585
2024-03-07 12:04:00+00:00,32.34,32.4,32.32,32.4,2423
2024-03-07 12:06:00+00:00,32.4,32.4,32.4,32.4,2003
