Datetime,Open,High,Low,Close,Volume
2024-03-13 11:22:00+00:00,9.56,9.56,9.56,9.56,184
2024-03-13 11:26:00+00:00,9.59,9.75,9.59,9.75,2074
2024-03-13 11:30:00+00:00,9.71,9.71,9.5,9.5,1053
2024-03-13 11:34:00+00:00,9.5,9.5,9.5,9.5,100
2024-03-13 11:38:00+00:00,9.35,9.36,9.35,9.36,340
2024-03-13 11:46:00+00:00,9.52,9.52,9.52,9.52,1050
2024-03-13 11:58:00+00:00,9.75,9.75,9.75,9.75,782
2024-03-13 12:00:00+00:00,9.5,10.0,9.5,9.75,2871
2024-03-13 12:04:00+00:00,9.6,9.6,9.6,9.6,160
2024-03-13 12:06:00+00:00,9.6,9.6,9.6,9.6,201
2024-03-13 12:12:00+00:00,9.642,9.642,9.642,9.642,575
2024-03-13 12:18:00+00:00,9.64,9.65,9.64,9.65,421
2024-03-13 12:20:00+00:00,9.65,9.65,9.65,9.65,238
2024-03-13 12:26:00+00:00,9.65,9.65,9.52,9.64,1209
2024-03-13 12:30:00+00:00,9.52,9.52,9.5,9.5,1190
2024-03-13 12:36:00+00:00,9.45,9.45,9.45,9.45,300
2024-03-13 12:52:00+00:00,9.33,9.33,9.3,9.3,601
2024-03-13 13:10:00+00:00,9.39,9.4,9.39,9.4,583
2024-03-13 13:12:00+00:00,9.4,9.4,9.4,9.4,500
2024-03-13 13:16:00+00:00,9.4085,9.4085,9.4085,9.4085,120
2024-03-13 13:22:00+00:00,9.4196,9.4196,9.4196,9.4196,559
2024-03-13 13:24:00+00:00,9.35,9.5,9.35,9.5,3096
2024-03-13 13:26:00+00:00,9.5,9.5,9.5,9.5,933
2024-03-13 13:28:00+00:00,9.58,9.92,9.58,9.92,6477
2024-03-13 13:30:00+00:00,10.02,10.24,9.82,9.82,72328
2024-03-13 13:32:00+00:00,9.66,9.8065,9.33,9.55,41989
2024-03-13 13:34:00+00:00,9.55,9.61,9.33,9.44,22134
2024-03-13 13:36:00+00:00,9.48,9.71,9.47,9.585,31551
2024-03-13 13:38:00+00:00,9.585,9.6775,9.5,9.59,6365
2024-03-13 13:40:00+00:00,9.665,9.7,9.4502,9.58,12063
2024-03-13 13:42:00+00:00,9.525,9.68,9.525,9.62,10163
2024-03-13 13:44:00+00:00,9.64,9.64,9.5,9.5,8709
2024-03-13 13:46:00+00:00,9.56,9.59,9.5,9.5,11883
2024-03-13 13:48:00+00:00,9.51,9.5466,9.48,9.49,14465
2024-03-13 13:50:00+00:00,9.49,9.63,9.48,9.5785,13449
2024-03-13 13:52:00+00:00,9.55,9.55,9.48,9.48,3495
2024-03-13 13:54:00+00:00,9.52,9.62,9.52,9.57,4420
2024-03-13 13:56:00+00:00,9.53,9.53,9.49,9.5,4835
2024-03-13 13:58:00+00:00,9.52,9.52,9.41,9.41,6157
2024-03-13 14:00:00+00:00,9.42,9.485,9.37,9.42,10046
2024-03-13 14:02:00+00:00,9.4,9.5,9.36,9.36,9909
2024-03-13 14:06:00+00:00,9.3707,9.39,9.36,9.37,4140
2024-03-13 14:08:00+00:00,9.36,9.36,9.22,9.24,15581
2024-03-13 14:10:00+00:00,9.2567,9.26,9.13,9.13,8549
2024-03-13 14:14:00+00:00,9.19,9.19,9.04,9.13,3358
2024-03-13 14:16:00+00:00,9.16,9.16,9.08,9.16,692
2024-03-13 14:18:00+00:00,9.16,9.165,9.08,9.1625,2066
2024-03-13 14:20:00+00:00,9.18,9.18,9.105,9.105,3713
2024-03-13 14:22:00+00:00,9.1125,9.115,9.1125,9.115,211
2024-03-13 14:24:00+00:00,9.1,9.1,8.99,9.01,7988
2024-03-13 14:26:00+00:00,9.025,9.03,9.02,9.02,2211
2024-03-13 14:28:00+00:00,9.03,9.0999,9.03,9.0999,2861
2024-03-13 14:30:00+00:00,9.08,9.13,9.06,9.12,9331
2024-03-13 14:32:00+00:00,9.15,9.225,9.13,9.15,9403
2024-03-13 14:34:00+00:00,9.15,9.2,9.14,9.2,8571
2024-03-13 14:36:00+00:00,9.199,9.2,9.13,9.13,9348
2024-03-13 14:38:00+00:00,9.16,9.18,9.14,9.14,8917
2024-03-13 14:40:00+00:00,9.14,9.17,9.09,9.1,16350
2024-03-13 14:42:00+00:00,9.0976,9.17,9.095,9.17,17938
2024-03-13 14:44:00+00:00,9.15,9.17,9.13,9.13,6426
2024-03-13 14:46:00+00:00,9.135,9.18,9.11,9.15,13732
2024-03-13 14:48:00+00:00,9.1799,9.1799,9.1,9.1,3543
2024-03-13 14:50:00+00:00,9.12,9.12,9.05,9.06,8009
2024-03-13 14:52:00+00:00,9.05,9.09,9.04,9.04,1305
2024-03-13 14:54:00+00:00,9.07,9.075,9.05,9.05,2130
2024-03-13 14:56:00+00:00,9.05,9.05,8.995,9.01,3028
2024-03-13 14:58:00+00:00,9.01,9.01,8.9,8.9,8220
2024-03-13 15:00:00+00:00,8.92,8.95,8.915,8.94,14787
2024-03-13 15:02:00+00:00,8.94,8.95,8.94,8.945,1717
2024-03-13 15:04:00+00:00,8.94,8.94,8.91,8.94,3838
2024-03-13 15:06:00+00:00,8.94,8.95,8.94,8.95,12754
2024-03-13 15:08:00+00:00,8.95,8.95,8.94,8.9479,18231
2024-03-13 15:10:00+00:00,8.95,9.01,8.95,8.995,7289
2024-03-13 15:12:00+00:00,9.02,9.099,9.02,9.099,7467
2024-03-13 15:14:00+00:00,9.075,9.1,9.03,9.07,6011
2024-03-13 15:16:00+00:00,9.07,9.07,9.02,9.02,2484
2024-03-13 15:18:00+00:00,9.045,9.045,9.01,9.01,3138
2024-03-13 15:20:00+00:00,9.02,9.12,9.02,9.095,8063
2024-03-13 15:22:00+00:00,9.09,9.14,9.09,9.12,3093
2024-03-13 15:24:00+00:00,9.12,9.12,9.1,9.12,2675
2024-03-13 15:26:00+00:00,9.1199,9.12,9.08,9.08,9386
2024-03-13 15:28:00+00:00,9.0999,9.1079,9.07,9.09,11819
2024-03-13 15:30:00+00:00,9.09,9.1,9.0633,9.0746,7505
2024-03-13 15:32:00+00:00,9.08,9.09,9.07,9.07,8260
2024-03-13 15:34:00+00:00,9.06,9.06,9.02,9.024,5537
2024-03-13 15:36:00+00:00,9.02,9.02,9.0,9.015,5405
2024-03-13 15:38:00+00:00,9.03,9.03,9.03,9.03,301
2024-03-13 15:40:00+00:00,9.0,9.0,9.0,9.0,698
2024-03-13 15:42:00+00:00,9.0,9.0,8.96,8.97,3086
2024-03-13 15:44:00+00:00,8.98,9.0,8.96,8.96,5302
2024-03-13 15:48:00+00:00,9.0,9.0,9.0,9.0,102
2024-03-13 15:50:00+00:00,8.99,8.99,8.95,8.95,3431
2024-03-13 15:52:00+00:00,8.93,8.93,8.88,8.89,4409
2024-03-13 15:54:00+00:00,8.88,8.88,8.78,8.84,18097
2024-03-13 15:56:00+00:00,8.84,8.84,8.84,8.84,740
2024-03-13 15:58:00+00:00,8.84,8.86,8.83,8.83,3986
2024-03-13 16:00:00+00:00,8.82,8.84,8.82,8.8393,2342
2024-03-13 16:02:00+00:00,8.83,8.88,8.83,8.86,8618
2024-03-13 16:04:00+00:00,8.84,8.84,8.79,8.79,2004
2024-03-13 16:06:00+00:00,8.79,8.85,8.79,8.85,2871
2024-03-13 16:08:00+00:00,8.8599,8.9,8.8599,8.9,11142
2024-03-13 16:10:00+00:00,8.9,8.91,8.9,8.91,1096
2024-03-13 16:12:00+00:00,8.91,8.92,8.9099,8.91,1922
2024-03-13 16:14:00+00:00,8.92,8.92,8.9,8.9,3487
2024-03-13 16:16:00+00:00,8.9,8.91,8.88,8.89,11256
2024-03-13 16:18:00+00:00,8.8999,8.92,8.8999,8.92,1594
2024-03-13 16:20:00+00:00,8.92,8.92,8.91,8.92,2717
2024-03-13 16:22:00+00:00,8.92,8.92,8.92,8.92,552
2024-03-13 16:24:00+00:00,8.93,8.93,8.9199,8.9199,1733
2024-03-13 16:26:00+00:00,8.93,8.93,8.93,8.93,523
2024-03-13 16:28:00+00:00,8.93,8.98,8.93,8.96,33631
2024-03-13 16:30:00+00:00,8.96,8.98,8.9599,8.98,2345
2024-03-13 16:32:00+00:00,8.98,9.04,8.98,9.04,15236
2024-03-13 16:34:00+00:00,9.04,9.04,9.0,9.02,8276
2024-03-13 16:36:00+00:00,9.0,9.01,8.97,8.97,4946
2024-03-13 16:38:00+00:00,8.99,9.0,8.97,8.99,4989
2024-03-13 16:40:00+00:00,8.959,8.959,8.959,8.959,201
2024-03-13 16:42:00+00:00,8.96,8.96,8.96,8.96,1905
2024-03-13 16:44:00+00:00,8.97,8.97,8.97,8.97,286
2024-03-13 16:46:00+00:00,8.97,8.97,8.93,8.95,8071
2024-03-13 16:48:00+00:00,8.9398,8.97,8.9398,8.97,2982
2024-03-13 16:50:00+00:00,8.96,8.96,8.92,8.92,4707
2024-03-13 16:52:00+00:00,8.9225,8.93,8.91,8.91,3043
2024-03-13 16:54:00+00:00,8.91,8.92,8.91,8.915,1807
2024-03-13 16:56:00+00:00,8.92,8.92,8.87,8.88,7202
2024-03-13 17:00:00+00:00,8.88,8.88,8.792,8.845,4764
2024-03-13 17:02:00+00:00,8.85,8.85,8.85,8.85,439
2024-03-13 17:06:00+00:00,8.86,8.86,8.8537,8.8537,886
2024-03-13 17:08:00+00:00,8.86,8.86,8.8,8.81,4882
2024-03-13 17:10:00+00:00,8.82,8.82,8.82,8.82,506
2024-03-13 17:12:00+00:00,8.83,8.83,8.82,8.82,292
2024-03-13 17:14:00+00:00,8.82,8.82,8.77,8.81,5487
2024-03-13 17:16:00+00:00,8.81,8.8173,8.74,8.79,17153
2024-03-13 17:18:00+00:00,8.78,8.805,8.77,8.77,13795
2024-03-13 17:20:00+00:00,8.77,8.78,8.76,8.76,4140
2024-03-13 17:22:00+00:00,8.76,8.89,8.74,8.85,35977
2024-03-13 17:24:00+00:00,8.84,8.86,8.84,8.85,1349
2024-03-13 17:26:00+00:00,8.85,8.95,8.85,8.95,5689
2024-03-13 17:28:00+00:00,8.92,8.93,8.9,8.905,3701
2024-03-13 17:30:00+00:00,8.9,8.92,8.9,8.92,2947
2024-03-13 17:32:00+00:00,8.915,8.93,8.9,8.93,6141
2024-03-13 17:34:00+00:00,8.905,8.905,8.9,8.905,627
2024-03-13 17:36:00+00:00,8.89,8.92,8.89,8.92,1359
2024-03-13 17:38:00+00:00,8.92,8.93,8.89,8.93,6969
2024-03-13 17:40:00+00:00,8.93,8.93,8.91,8.91,1803
2024-03-13 17:42:00+00:00,8.94,8.9425,8.93,8.93,4983
