Datetime,Open,High,Low,Close,Volume
2024-03-05 14:36:00+00:00,8.8899,8.8899,8.8899,8.8899,225
2024-03-05 15:16:00+00:00,8.7099,8.7099,8.7099,8.7099,117
2024-03-05 15:36:00+00:00,8.3,8.3,8.3,8.3,400
2024-03-05 16:16:00+00:00,8.24,8.24,8.24,8.24,152
2024-03-05 17:50:00+00:00,8.29,8.29,8.29,8.29,107
2024-03-05 18:10:00+00:00,8.3323,8.3323,8.3323,8.3323,200
2024-03-05 18:46:00+00:00,8.27,8.27,8.27,8.27,100
2024-03-05 19:02:00+00:00,8.3355,8.3355,8.3355,8.3355,200
2024-03-05 19:06:00+00:00,8.25,8.25,8.25,8.25,200
2024-03-05 19:22:00+00:00,8.1953,8.1953,8.1953,8.1953,202
2024-03-05 19:26:00+00:00,8.3,8.3,8.3,8.3,154
2024-03-05 20:04:00+00:00,8.21,8.21,8.205,8.205,346
2024-03-05 20:42:00+00:00,8.28,8.29,8.28,8.29,333
