Datetime,Open,High,Low,Close,Volume
2024-03-19 13:30:00+00:00,8.5,8.5,8.5,8.5,510.7
2024-03-19 13:34:00+00:00,7.75,7.75,7.75,7.75,136.0
2024-03-19 13:46:00+00:00,8.0,8.0,8.0,8.0,302.9
2024-03-19 13:50:00+00:00,8.0,8.0,8.0,8.0,50.0
2024-03-19 14:18:00+00:00,7.99,7.99,7.8,7.8,542.5
2024-03-19 14:32:00+00:00,8.0,8.0,7.99,8.0,460.0
2024-03-19 14:46:00+00:00,8.5,8.5,8.5,8.5,10.0
2024-03-19 15:00:00+00:00,8.283,8.283,8.283,8.283,14.6
2024-03-19 15:08:00+00:00,8.0,8.0,8.0,8.0,16.7
2024-03-19 15:32:00+00:00,8.49,8.495,8.49,8.495,20.0
2024-03-19 15:38:00+00:00,8.5,8.5,8.5,8.5,10.0
2024-03-19 15:44:00+00:00,8.498,8.498,8.498,8.498,47.0
2024-03-19 15:46:00+00:00,8.5,8.5,8.5,8.5,50.0
2024-03-19 15:50:00+00:00,8.0,8.001,8.0,8.0,360.0
2024-03-19 15:52:00+00:00,8.0,8.0,8.0,8.0,1188.4
2024-03-19 16:00:00+00:00,8.0,8.0,8.0,8.0,12.6
2024-03-19 16:10:00+00:00,8.3,8.3,8.3,8.3,10.0
2024-03-19 17:00:00+00:00,8.0,8.0,8.0,8.0,60.0
2024-03-19 17:02:00+00:00,8.0,8.0,8.0,8.0,10.0
2024-03-19 17:30:00+00:00,8.15,8.15,8.15,8.15,10.0
2024-03-19 17:40:00+00:00,8.0,8.0,8.0,8.0,750.0
2024-03-19 17:56:00+00:00,8.3,8.3,8.3,8.3,10.0
2024-03-19 18:42:00+00:00,8.5,8.5,8.5,8.5,12.0
2024-03-19 18:46:00+00:00,8.499,8.499,8.499,8.499,24.0
2024-03-19 18:50:00+00:00,8.5,8.5,8.5,8.5,23.0
2024-03-19 19:08:00+00:00,8.499,8.499,8.499,8.499,17.8
2024-03-19 19:16:00+00:00,8.0,8.0,7.8,8.0,805.0
