Datetime,Open,High,Low,Close,Volume
2024-03-15 10:04:00+00:00,11.0,11.0,11.0,11.0,860
2024-03-15 10:06:00+00:00,8.91,14.97,8.91,13.5,6107
2024-03-15 10:08:00+00:00,14.97,22.0,14.97,22.0,10185
2024-03-15 10:10:00+00:00,21.0,22.0,15.99,18.0,9929
2024-03-15 10:12:00+00:00,15.5,16.8,14.5,14.51,8909
2024-03-15 10:14:00+00:00,14.94,16.0,13.5,14.03,8764
2024-03-15 10:16:00+00:00,13.8,13.8,11.03,11.03,17626
2024-03-15 10:18:00+00:00,11.6,13.0,11.08,13.0,14166
2024-03-15 10:20:00+00:00,13.0,13.01,10.11,10.16,17329
2024-03-15 10:22:00+00:00,10.4,11.24,9.71,10.26,11121
2024-03-15 10:24:00+00:00,10.27,12.75,10.18,12.5,11227
2024-03-15 10:26:00+00:00,12.4,12.4,11.6,11.6,3249
2024-03-15 10:28:00+00:00,11.99,13.49,11.99,13.49,9640
2024-03-15 10:30:00+00:00,13.5,13.5,12.28,13.0,7277
2024-03-15 10:32:00+00:00,13.0,13.52,13.0,13.22,5320
2024-03-15 10:34:00+00:00,12.5,12.53,12.49,12.53,1249
2024-03-15 10:36:00+00:00,12.39,12.39,11.25,11.67,5375
2024-03-15 10:40:00+00:00,11.8,11.8,11.67,11.76,2195
2024-03-15 10:42:00+00:00,11.75,11.91,10.81,11.03,7256
2024-03-15 10:44:00+00:00,11.0,11.4,11.0,11.4,1849
2024-03-15 10:46:00+00:00,11.37,11.37,11.37,11.37,1675
2024-03-15 10:48:00+00:00,11.58,11.58,10.95,10.95,2920
2024-03-15 10:50:00+00:00,10.87,10.87,10.84,10.84,1157
2024-03-15 10:52:00+00:00,10.79,10.79,10.44,10.55,3317
2024-03-15 10:54:00+00:00,10.67,10.67,10.5,10.5,1225
2024-03-15 10:56:00+00:00,10.57,10.57,10.57,10.57,605
2024-03-15 10:58:00+00:00,10.55,10.55,10.55,10.55,401
2024-03-15 11:00:00+00:00,10.5,10.5,9.7,10.0,6985
2024-03-15 11:02:00+00:00,10.11,10.7,10.11,10.64,3781
2024-03-15 11:04:00+00:00,10.59,11.09,10.58,11.09,4088
2024-03-15 11:06:00+00:00,11.3,12.25,11.3,11.75,11959
2024-03-15 11:08:00+00:00,11.75,11.75,10.6,10.61,8529
2024-03-15 11:10:00+00:00,10.5,10.7,9.72,9.72,13642
2024-03-15 11:12:00+00:00,10.1,10.5,10.1,10.47,2858
2024-03-15 11:14:00+00:00,10.37,10.47,10.37,10.47,1424
2024-03-15 11:16:00+00:00,10.36,10.36,10.0,10.0,2097
2024-03-15 11:18:00+00:00,10.01,10.02,10.01,10.02,1231
2024-03-15 11:20:00+00:00,10.17,10.55,10.17,10.5,2984
2024-03-15 11:22:00+00:00,10.46,10.46,10.19,10.27,2141
2024-03-15 11:24:00+00:00,10.23,10.38,10.23,10.23,664
2024-03-15 11:26:00+00:00,10.52,10.52,10.52,10.52,1338
2024-03-15 11:28:00+00:00,10.49,10.49,10.49,10.49,490
2024-03-15 11:30:00+00:00,10.49,10.49,10.32,10.32,1195
2024-03-15 11:32:00+00:00,10.31,10.31,10.31,10.31,358
2024-03-15 11:34:00+00:00,10.0,10.0,10.0,10.0,1680
2024-03-15 11:36:00+00:00,10.26,10.42,10.26,10.42,1929
2024-03-15 11:40:00+00:00,10.4,10.55,10.34,10.55,1856
2024-03-15 11:42:00+00:00,10.33,10.33,10.33,10.33,384
2024-03-15 11:46:00+00:00,10.41,10.41,10.41,10.41,362
2024-03-15 11:50:00+00:00,10.53,10.58,10.53,10.58,912
2024-03-15 11:54:00+00:00,10.33,10.33,10.33,10.33,694
2024-03-15 11:56:00+00:00,10.33,10.33,10.33,10.33,343
2024-03-15 11:58:00+00:00,10.33,10.33,10.3,10.3,1022
2024-03-15 12:00:00+00:00,10.13,12.26,9.71,10.05,20408
2024-03-15 12:02:00+00:00,10.3148,10.3148,10.2,10.2,1240
2024-03-15 12:04:00+00:00,10.3,10.3,10.3,10.3,585
2024-03-15 12:06:00+00:00,10.49,10.49,10.49,10.49,215
2024-03-15 12:12:00+00:00,10.39,10.4693,10.37,10.4693,1297
2024-03-15 12:14:00+00:00,10.3,10.35,10.3,10.3,1547
2024-03-15 12:18:00+00:00,10.01,10.01,10.01,10.01,603
2024-03-15 12:20:00+00:00,10.08,10.08,10.08,10.08,500
2024-03-15 12:22:00+00:00,10.1,10.1,10.1,10.1,231
2024-03-15 12:24:00+00:00,10.1001,10.1001,9.56,9.56,6832
2024-03-15 12:26:00+00:00,9.55,9.55,9.2003,9.5,6724
2024-03-15 12:28:00+00:00,9.3501,10.0,9.3501,9.77,2967
2024-03-15 12:30:00+00:00,9.74,9.77,9.39,9.42,2987
2024-03-15 12:32:00+00:00,9.36,9.41,9.32,9.41,3090
2024-03-15 12:34:00+00:00,9.4,9.45,9.4,9.45,2608
2024-03-15 12:38:00+00:00,9.35,9.35,9.35,9.35,1287
2024-03-15 12:40:00+00:00,9.4,9.4,9.18,9.18,1650
2024-03-15 12:42:00+00:00,9.15,9.15,8.85,8.85,2714
2024-03-15 12:44:00+00:00,8.85,9.0,8.5,8.7,7935
2024-03-15 12:46:00+00:00,8.51,8.57,8.5,8.57,2869
2024-03-15 12:50:00+00:00,8.67,9.0,8.67,9.0,3690
2024-03-15 12:52:00+00:00,9.33,9.93,9.33,9.93,4508
2024-03-15 12:54:00+00:00,9.9,9.9,9.0001,9.0001,3320
2024-03-15 12:56:00+00:00,9.3,9.3,9.3,9.3,828
2024-03-15 12:58:00+00:00,9.0,9.3995,9.0,9.3995,610
2024-03-15 13:00:00+00:00,9.35,9.44,9.35,9.44,1887
2024-03-15 13:02:00+00:00,9.35,9.35,9.19,9.19,1645
2024-03-15 13:04:00+00:00,9.1,9.1,9.0,9.0,889
2024-03-15 13:06:00+00:00,9.0,9.02,9.0,9.02,1053
2024-03-15 13:08:00+00:00,9.02,9.2,9.02,9.05,1680
2024-03-15 13:10:00+00:00,9.0,9.16,8.95,9.16,1086
2024-03-15 13:12:00+00:00,9.0,9.0,8.9501,9.0,2494
2024-03-15 13:14:00+00:00,8.95,8.96,8.94,8.94,3380
2024-03-15 13:16:00+00:00,8.94,8.94,8.9355,8.9355,957
2024-03-15 13:18:00+00:00,8.9,8.9,8.6178,8.8,3835
2024-03-15 13:20:00+00:00,8.8,8.8,8.73,8.75,3743
2024-03-15 13:22:00+00:00,8.7,8.7,8.5,8.5,3935
2024-03-15 13:24:00+00:00,8.6,8.6,8.4201,8.43,1899
2024-03-15 13:26:00+00:00,8.565,8.565,8.45,8.45,1224
2024-03-15 13:28:00+00:00,8.52,8.52,8.44,8.44,1002
2024-03-15 13:30:00+00:00,8.47,8.9,7.64,7.64,17304
2024-03-15 13:36:00+00:00,7.64,8.25,7.64,8.1239,3773
2024-03-15 13:38:00+00:00,8.1021,8.1021,7.407,7.502,4131
2024-03-15 13:40:00+00:00,7.41,7.53,7.03,7.05,7017
2024-03-15 13:42:00+00:00,7.2682,7.2682,6.5379,6.61,12606
2024-03-15 13:44:00+00:00,6.53,6.53,6.06,6.06,9613
2024-03-15 13:46:00+00:00,6.15,6.3641,6.05,6.3641,6339
2024-03-15 13:48:00+00:00,6.45,6.5,6.45,6.5,1148
2024-03-15 13:50:00+00:00,6.5,6.5,6.5,6.5,300
2024-03-15 13:52:00+00:00,6.4629,6.4629,6.4629,6.4629,323
2024-03-15 13:54:00+00:00,6.4499,6.5,6.1,6.1001,3249
2024-03-15 13:56:00+00:00,6.26,6.3,6.23,6.236,2372
2024-03-15 14:00:00+00:00,6.36,6.6094,6.36,6.6,4728
2024-03-15 14:02:00+00:00,6.59,6.6099,6.48,6.6099,1396
2024-03-15 14:06:00+00:00,6.61,6.61,6.48,6.5394,1591
2024-03-15 14:08:00+00:00,6.2001,6.39,6.2,6.2001,1750
2024-03-15 14:10:00+00:00,6.2331,6.24,6.21,6.21,2498
2024-03-15 14:12:00+00:00,6.22,6.22,6.22,6.22,138
2024-03-15 14:14:00+00:00,6.167,6.167,6.167,6.167,265
2024-03-15 14:16:00+00:00,6.1093,6.15,6.0,6.0801,6652
2024-03-15 14:18:00+00:00,6.01,6.01,5.8,6.0,2942
2024-03-15 14:20:00+00:00,6.0,6.07,6.0,6.07,1121
2024-03-15 14:22:00+00:00,5.85,5.85,5.83,5.83,488
2024-03-15 14:24:00+00:00,5.9789,5.9789,5.8,5.8,1860
2024-03-15 14:26:00+00:00,5.86,5.8994,5.8,5.8,1902
2024-03-15 14:28:00+00:00,5.74,5.89,5.53,5.76,8368
2024-03-15 14:30:00+00:00,5.69,6.07,5.69,5.95,2624
2024-03-15 14:32:00+00:00,6.06,6.18,6.05,6.18,1937
2024-03-15 14:34:00+00:00,6.302,6.39,6.17,6.39,3094
2024-03-15 14:36:00+00:00,6.39,6.39,6.39,6.39,332
2024-03-15 14:38:00+00:00,6.3899,6.3899,6.3899,6.3899,901
2024-03-15 14:40:00+00:00,6.0701,6.0701,6.07,6.07,442
2024-03-15 14:42:00+00:00,6.07,6.07,6.07,6.07,695
2024-03-15 14:44:00+00:00,6.2999,6.2999,6.2999,6.2999,336
2024-03-15 14:48:00+00:00,6.07,6.07,6.07,6.07,621
2024-03-15 14:50:00+00:00,6.0757,6.0757,6.0325,6.0325,710
2024-03-15 14:52:00+00:00,6.11,6.11,6.11,6.11,1040
2024-03-15 14:54:00+00:00,5.99,6.11,5.99,6.1,901
2024-03-15 14:56:00+00:00,6.3,6.57,6.3,6.35,1601
2024-03-15 14:58:00+00:00,6.5299,6.5299,6.5299,6.5299,150
2024-03-15 15:00:00+00:00,6.425,6.425,6.425,6.425,134
2024-03-15 15:02:00+00:00,6.48,6.4994,6.48,6.4994,229
2024-03-15 15:06:00+00:00,6.35,6.35,6.3,6.3,946
2024-03-15 15:08:00+00:00,6.3,6.3,6.3,6.3,329
2024-03-15 15:12:00+00:00,6.3,6.3,6.3,6.3,225
2024-03-15 15:36:00+00:00,6.03,6.18,6.03,6.18,736
2024-03-15 15:38:00+00:00,6.3,6.3,6.3,6.3,184
2024-03-15 15:40:00+00:00,6.165,6.53,6.165,6.53,3000
2024-03-15 15:42:00+00:00,6.52,6.52,6.52,6.52,156
2024-03-15 15:44:00+00:00,6.2463,6.2463,6.2463,6.2463,510
2024-03-15 15:52:00+00:00,6.2424,6.4572,6.2424,6.4572,505
2024-03-15 15:58:00+00:00,6.235,6.51,6.235,6.51,1629
2024-03-15 16:04:00+00:00,6.51,6.5148,6.41,6.41,2439
2024-03-15 16:06:00+00:00,6.45,6.4811,6.45,6.4502,2612
2024-03-15 16:22:00+00:00,6.275,6.275,6.275,6.275,1798
2024-03-15 16:28:00+00:00,6.15,6.15,6.1206,6.1206,240
2024-03-15 16:30:00+00:00,6.3,6.3,6.3,6.3,546
2024-03-15 16:34:00+00:00,6.12,6.12,6.1,6.1001,947
2024-03-15 16:36:00+00:00,6.05,6.05,6.05,6.05,361
2024-03-15 16:38:00+00:00,5.9,6.04,5.9,6.04,367
2024-03-15 16:40:00+00:00,6.11,6.11,6.11,6.11,226
2024-03-15 16:48:00+00:00,6.2509,6.2509,6.0,6.0,714
